date,buy eBay shares
2020-01-01,20
2020-02-01,24
2020-03-01,81
2020-04-01,59
2020-05-01,63
2020-06-01,43
2020-07-01,24
2020-08-01,20
2020-09-01,21
2020-10-01,30
2020-11-01,52
2020-12-01,32
2021-01-01,37
2021-02-01,49
2021-03-01,35
2021-04-01,24
2021-05-01,29
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,41
2021-11-01,30
2021-12-01,0
2022-01-01,22
2022-02-01,24
2022-03-01,30
2022-04-01,21
2022-05-01,22
2022-06-01,27
2022-07-01,19
2022-08-01,34
2022-09-01,0
2022-10-01,33
2022-11-01,0
2022-12-01,23
2023-01-01,21
2023-02-01,25
2023-03-01,16
2023-04-01,0
2023-05-01,30
2023-06-01,0
2023-07-01,0
2023-08-01,0
2023-09-01,18
2023-10-01,22
2023-11-01,0
2023-12-01,0
2024-01-01,0
2024-02-01,0
2024-03-01,0
2024-04-01,0
2024-05-01,0
2024-06-01,0
2024-07-01,0
2024-08-01,0
2024-09-01,0
2024-10-01,0
2024-11-01,23
2024-12-01,0
2025-01-01,0
2025-02-01,0
2025-03-01,0
2025-04-01,0
2025-05-01,0
2025-06-01,0
2025-07-01,34
2025-08-01,100
