date,impact of unemployment
2020-08-02,11
2020-08-09,11
2020-08-16,11
2020-08-23,11
2020-08-30,14
2020-09-06,16
2020-09-13,17
2020-09-20,18
2020-09-27,14
2020-10-04,19
2020-10-11,17
2020-10-18,16
2020-10-25,12
2020-11-01,16
2020-11-08,12
2020-11-15,15
2020-11-22,14
2020-11-29,13
2020-12-06,16
2020-12-13,13
2020-12-20,6
2020-12-27,6
2021-01-03,11
2021-01-10,9
2021-01-17,13
2021-01-24,13
2021-01-31,12
2021-02-07,12
2021-02-14,12
2021-02-21,16
2021-02-28,21
2021-03-07,28
2021-03-14,35
2021-03-21,40
2021-03-28,44
2021-04-04,43
2021-04-11,43
2021-04-18,29
2021-04-25,18
2021-05-02,18
2021-05-09,17
2021-05-16,15
2021-05-23,13
2021-05-30,14
2021-06-06,12
2021-06-13,11
2021-06-20,10
2021-06-27,10
2021-07-04,8
2021-07-11,8
2021-07-18,8
2021-07-25,11
2021-08-01,8
2021-08-08,13
2021-08-15,17
2021-08-22,13
2021-08-29,14
2021-09-05,17
2021-09-12,18
2021-09-19,17
2021-09-26,13
2021-10-03,12
2021-10-10,13
2021-10-17,15
2021-10-24,14
2021-10-31,13
2021-11-07,15
2021-11-14,15
2021-11-21,13
2021-11-28,14
2021-12-05,12
2021-12-12,14
2021-12-19,5
2021-12-26,7
2022-01-02,8
2022-01-09,11
2022-01-16,11
2022-01-23,16
2022-01-30,14
2022-02-06,23
2022-02-13,30
2022-02-20,57
2022-02-27,100
2022-03-06,99
2022-03-13,62
2022-03-20,32
2022-03-27,23
2022-04-03,27
2022-04-10,21
2022-04-17,26
2022-04-24,28
2022-05-01,22
2022-05-08,23
2022-05-15,25
2022-05-22,27
2022-05-29,18
2022-06-05,18
2022-06-12,15
2022-06-19,15
2022-06-26,9
2022-07-03,11
2022-07-10,11
2022-07-17,11
2022-07-24,11
2022-07-31,10
2022-08-07,14
2022-08-14,14
2022-08-21,14
2022-08-28,17
2022-09-04,21
2022-09-11,23
2022-09-18,21
2022-09-25,18
2022-10-02,18
2022-10-09,15
2022-10-16,18
2022-10-23,18
2022-10-30,18
2022-11-06,17
2022-11-13,22
2022-11-20,15
2022-11-27,19
2022-12-04,18
2022-12-11,18
2022-12-18,8
2022-12-25,7
2023-01-01,9
2023-01-08,14
2023-01-15,17
2023-01-22,18
2023-01-29,18
2023-02-05,20
2023-02-12,24
2023-02-19,35
2023-02-26,44
2023-03-05,70
2023-03-12,48
2023-03-19,26
2023-03-26,23
2023-04-02,18
2023-04-09,18
2023-04-16,23
2023-04-23,25
2023-04-30,25
2023-05-07,22
2023-05-14,21
2023-05-21,20
2023-05-28,15
2023-06-04,16
2023-06-11,13
2023-06-18,15
2023-06-25,9
2023-07-02,8
2023-07-09,7
2023-07-16,9
2023-07-23,12
2023-07-30,8
2023-08-06,10
2023-08-13,10
2023-08-20,11
2023-08-27,13
2023-09-03,17
2023-09-10,20
2023-09-17,16
2023-09-24,15
2023-10-01,17
2023-10-08,15
2023-10-15,18
2023-10-22,16
2023-10-29,20
2023-11-05,20
2023-11-12,21
2023-11-19,13
2023-11-26,21
2023-12-03,24
2023-12-10,19
2023-12-17,11
2023-12-24,5
2023-12-31,8
2024-01-07,14
2024-01-14,11
2024-01-21,18
2024-01-28,16
2024-02-04,20
2024-02-11,23
2024-02-18,36
2024-02-25,53
2024-03-03,59
2024-03-10,44
2024-03-17,30
2024-03-24,20
2024-03-31,22
2024-04-07,26
2024-04-14,27
2024-04-21,26
2024-04-28,28
2024-05-05,25
2024-05-12,23
2024-05-19,20
2024-05-26,12
2024-06-02,12
2024-06-09,15
2024-06-16,13
2024-06-23,13
2024-06-30,10
2024-07-07,12
2024-07-14,9
2024-07-21,10
2024-07-28,11
2024-08-04,11
2024-08-11,13
2024-08-18,12
2024-08-25,14
2024-09-01,16
2024-09-08,17
2024-09-15,17
2024-09-22,16
2024-09-29,18
2024-10-06,15
2024-10-13,19
2024-10-20,18
2024-10-27,22
2024-11-03,21
2024-11-10,21
2024-11-17,23
2024-11-24,12
2024-12-01,21
2024-12-08,20
2024-12-15,15
2024-12-22,6
2024-12-29,5
2025-01-05,13
2025-01-12,14
2025-01-19,17
2025-01-26,21
2025-02-02,26
2025-02-09,28
2025-02-16,36
2025-02-23,42
2025-03-02,43
2025-03-09,37
2025-03-16,32
2025-03-23,26
2025-03-30,27
2025-04-06,25
2025-04-13,26
2025-04-20,22
2025-04-27,25
2025-05-04,22
2025-05-11,19
2025-05-18,19
2025-05-25,14
2025-06-01,19
2025-06-08,22
2025-06-15,18
2025-06-22,19
2025-06-29,17
2025-07-06,16
2025-07-13,17
2025-07-20,18
2025-07-27,34
