date,Dua Lipa
2020-08-02,30
2020-08-09,39
2020-08-16,33
2020-08-23,35
2020-08-30,27
2020-09-06,25
2020-09-13,24
2020-09-20,23
2020-09-27,22
2020-10-04,26
2020-10-11,26
2020-10-18,25
2020-10-25,27
2020-11-01,25
2020-11-08,30
2020-11-15,36
2020-11-22,50
2020-11-29,43
2020-12-06,38
2020-12-13,36
2020-12-20,55
2020-12-27,44
2021-01-03,38
2021-01-10,40
2021-01-17,32
2021-01-24,30
2021-01-31,28
2021-02-07,31
2021-02-14,30
2021-02-21,29
2021-02-28,29
2021-03-07,29
2021-03-14,100
2021-03-21,50
2021-03-28,41
2021-04-04,39
2021-04-11,36
2021-04-18,38
2021-04-25,39
2021-05-02,39
2021-05-09,61
2021-05-16,44
2021-05-23,45
2021-05-30,40
2021-06-06,39
2021-06-13,37
2021-06-20,39
2021-06-27,38
2021-07-04,36
2021-07-11,37
2021-07-18,37
2021-07-25,38
2021-08-01,38
2021-08-08,36
2021-08-15,44
2021-08-22,44
2021-08-29,31
2021-09-05,30
2021-09-12,43
2021-09-19,41
2021-09-26,37
2021-10-03,32
2021-10-10,35
2021-10-17,34
2021-10-24,35
2021-10-31,33
2021-11-07,32
2021-11-14,33
2021-11-21,39
2021-11-28,35
2021-12-05,45
2021-12-12,56
2021-12-19,47
2021-12-26,45
2022-01-02,39
2022-01-09,35
2022-01-16,32
2022-01-23,32
2022-01-30,35
2022-02-06,42
2022-02-13,39
2022-02-20,38
2022-02-27,49
2022-03-06,50
2022-03-13,42
2022-03-20,40
2022-03-27,40
2022-04-03,42
2022-04-10,35
2022-04-17,38
2022-04-24,37
2022-05-01,46
2022-05-08,50
2022-05-15,44
2022-05-22,49
2022-05-29,57
2022-06-05,56
2022-06-12,52
2022-06-19,38
2022-06-26,37
2022-07-03,35
2022-07-10,33
2022-07-17,29
2022-07-24,33
2022-07-31,33
2022-08-07,35
2022-08-14,31
2022-08-21,38
2022-08-28,36
2022-09-04,39
2022-09-11,67
2022-09-18,56
2022-09-25,51
2022-10-02,34
2022-10-09,29
2022-10-16,25
2022-10-23,25
2022-10-30,31
2022-11-06,31
2022-11-13,40
2022-11-20,29
2022-11-27,37
2022-12-04,26
2022-12-11,35
2022-12-18,28
2022-12-25,28
2023-01-01,28
2023-01-08,23
2023-01-15,22
2023-01-22,21
2023-01-29,20
2023-02-05,20
2023-02-12,20
2023-02-19,20
2023-02-26,21
2023-03-05,20
2023-03-12,18
2023-03-19,20
2023-03-26,19
2023-04-02,22
2023-04-09,19
2023-04-16,16
2023-04-23,17
2023-04-30,34
2023-05-07,19
2023-05-14,23
2023-05-21,41
2023-05-28,24
2023-06-04,23
2023-06-11,20
2023-06-18,24
2023-06-25,25
2023-07-02,23
2023-07-09,40
2023-07-16,29
2023-07-23,36
2023-07-30,30
2023-08-06,28
2023-08-13,25
2023-08-20,30
2023-08-27,26
2023-09-03,21
2023-09-10,20
2023-09-17,19
2023-09-24,23
2023-10-01,22
2023-10-08,20
2023-10-15,18
2023-10-22,16
2023-10-29,18
2023-11-05,30
2023-11-12,44
2023-11-19,41
2023-11-26,26
2023-12-03,33
2023-12-10,27
2023-12-17,26
2023-12-24,36
2023-12-31,35
2024-01-07,34
2024-01-14,36
2024-01-21,34
2024-01-28,36
2024-02-04,61
2024-02-11,39
2024-02-18,40
2024-02-25,33
2024-03-03,33
2024-03-10,32
2024-03-17,39
2024-03-24,32
2024-03-31,27
2024-04-07,35
2024-04-14,33
2024-04-21,27
2024-04-28,45
2024-05-05,60
2024-05-12,37
2024-05-19,31
2024-05-26,31
2024-06-02,30
2024-06-09,35
2024-06-16,28
2024-06-23,54
2024-06-30,44
2024-07-07,34
2024-07-14,26
2024-07-21,27
2024-07-28,25
2024-08-04,21
2024-08-11,23
2024-08-18,27
2024-08-25,26
2024-09-01,20
2024-09-08,31
2024-09-15,55
2024-09-22,25
2024-09-29,21
2024-10-06,24
2024-10-13,24
2024-10-20,26
2024-10-27,21
2024-11-03,25
2024-11-10,26
2024-11-17,25
2024-11-24,26
2024-12-01,31
2024-12-08,38
2024-12-15,41
2024-12-22,40
2024-12-29,40
2025-01-05,24
2025-01-12,23
2025-01-19,21
2025-01-26,25
2025-02-02,21
2025-02-09,22
2025-02-16,23
2025-02-23,18
2025-03-02,18
2025-03-09,19
2025-03-16,26
2025-03-23,28
2025-03-30,31
2025-04-06,40
2025-04-13,22
2025-04-20,20
2025-04-27,19
2025-05-04,23
2025-05-11,28
2025-05-18,31
2025-05-25,38
2025-06-01,40
2025-06-08,40
2025-06-15,37
2025-06-22,36
2025-06-29,24
2025-07-06,23
2025-07-13,20
2025-07-20,21
2025-07-27,23
