date,dollar index
2020-08-02,32
2020-08-09,28
2020-08-16,32
2020-08-23,28
2020-08-30,32
2020-09-06,24
2020-09-13,23
2020-09-20,35
2020-09-27,29
2020-10-04,24
2020-10-11,23
2020-10-18,23
2020-10-25,23
2020-11-01,23
2020-11-08,23
2020-11-15,19
2020-11-22,21
2020-11-29,27
2020-12-06,23
2020-12-13,27
2020-12-20,25
2020-12-27,23
2021-01-03,33
2021-01-10,31
2021-01-17,27
2021-01-24,24
2021-01-31,28
2021-02-07,23
2021-02-14,23
2021-02-21,26
2021-02-28,28
2021-03-07,31
2021-03-14,25
2021-03-21,27
2021-03-28,24
2021-04-04,22
2021-04-11,21
2021-04-18,21
2021-04-25,19
2021-05-02,20
2021-05-09,23
2021-05-16,24
2021-05-23,23
2021-05-30,21
2021-06-06,20
2021-06-13,26
2021-06-20,24
2021-06-27,21
2021-07-04,22
2021-07-11,21
2021-07-18,23
2021-07-25,22
2021-08-01,18
2021-08-08,21
2021-08-15,22
2021-08-22,22
2021-08-29,18
2021-09-05,19
2021-09-12,18
2021-09-19,24
2021-09-26,26
2021-10-03,23
2021-10-10,19
2021-10-17,20
2021-10-24,17
2021-10-31,18
2021-11-07,22
2021-11-14,22
2021-11-21,25
2021-11-28,22
2021-12-05,18
2021-12-12,21
2021-12-19,19
2021-12-26,17
2022-01-02,20
2022-01-09,21
2022-01-16,19
2022-01-23,24
2022-01-30,22
2022-02-06,21
2022-02-13,20
2022-02-20,24
2022-02-27,28
2022-03-06,29
2022-03-13,22
2022-03-20,19
2022-03-27,20
2022-04-03,21
2022-04-10,21
2022-04-17,24
2022-04-24,31
2022-05-01,32
2022-05-08,38
2022-05-15,34
2022-05-22,31
2022-05-29,28
2022-06-05,27
2022-06-12,38
2022-06-19,31
2022-06-26,31
2022-07-03,41
2022-07-10,47
2022-07-17,44
2022-07-24,39
2022-07-31,34
2022-08-07,32
2022-08-14,34
2022-08-21,42
2022-08-28,43
2022-09-04,44
2022-09-11,45
2022-09-18,57
2022-09-25,100
2022-10-02,75
2022-10-09,72
2022-10-16,68
2022-10-23,60
2022-10-30,57
2022-11-06,57
2022-11-13,53
2022-11-20,43
2022-11-27,42
2022-12-04,43
2022-12-11,43
2022-12-18,40
2022-12-25,32
2023-01-01,39
2023-01-08,47
2023-01-15,37
2023-01-22,33
2023-01-29,36
2023-02-05,42
2023-02-12,37
2023-02-19,34
2023-02-26,35
2023-03-05,36
2023-03-12,39
2023-03-19,39
2023-03-26,32
2023-04-02,36
2023-04-09,36
2023-04-16,40
2023-04-23,32
2023-04-30,32
2023-05-07,31
2023-05-14,32
2023-05-21,32
2023-05-28,31
2023-06-04,30
2023-06-11,31
2023-06-18,30
2023-06-25,26
2023-07-02,27
2023-07-09,37
2023-07-16,36
2023-07-23,34
2023-07-30,36
2023-08-06,33
2023-08-13,37
2023-08-20,36
2023-08-27,33
2023-09-03,37
2023-09-10,33
2023-09-17,34
2023-09-24,43
2023-10-01,52
2023-10-08,52
2023-10-15,37
2023-10-22,36
2023-10-29,34
2023-11-05,33
2023-11-12,33
2023-11-19,30
2023-11-26,34
2023-12-03,31
2023-12-10,31
2023-12-17,29
2023-12-24,26
2023-12-31,29
2024-01-07,28
2024-01-14,30
2024-01-21,25
2024-01-28,21
2024-02-04,21
2024-02-11,20
2024-02-18,19
2024-02-25,18
2024-03-03,20
2024-03-10,17
2024-03-17,20
2024-03-24,17
2024-03-31,22
2024-04-07,21
2024-04-14,21
2024-04-21,18
2024-04-28,18
2024-05-05,16
2024-05-12,16
2024-05-19,15
2024-05-26,14
2024-06-02,15
2024-06-09,17
2024-06-16,15
2024-06-23,15
2024-06-30,15
2024-07-07,14
2024-07-14,15
2024-07-21,15
2024-07-28,16
2024-08-04,21
2024-08-11,15
2024-08-18,18
2024-08-25,17
2024-09-01,17
2024-09-08,15
2024-09-15,18
2024-09-22,18
2024-09-29,16
2024-10-06,17
2024-10-13,16
2024-10-20,17
2024-10-27,16
2024-11-03,24
2024-11-10,26
2024-11-17,22
2024-11-24,20
2024-12-01,17
2024-12-08,18
2024-12-15,20
2024-12-22,17
2024-12-29,17
2025-01-05,23
2025-01-12,26
2025-01-19,26
2025-01-26,21
2025-02-02,28
2025-02-09,22
2025-02-16,19
2025-02-23,21
2025-03-02,32
2025-03-09,28
2025-03-16,25
2025-03-23,22
2025-03-30,39
2025-04-06,53
2025-04-13,43
2025-04-20,50
2025-04-27,29
2025-05-04,26
2025-05-11,23
2025-05-18,25
2025-05-25,20
2025-06-01,23
2025-06-08,23
2025-06-15,21
2025-06-22,28
2025-06-29,30
2025-07-06,27
2025-07-13,26
2025-07-20,30
2025-07-27,41
