date,Drake new album
2020-01-01,6
2020-02-01,5
2020-03-01,9
2020-04-01,8
2020-05-01,38
2020-06-01,5
2020-07-01,7
2020-08-01,14
2020-09-01,7
2020-10-01,9
2020-11-01,4
2020-12-01,4
2021-01-01,13
2021-02-01,7
2021-03-01,17
2021-04-01,5
2021-05-01,6
2021-06-01,5
2021-07-01,6
2021-08-01,16
2021-09-01,99
2021-10-01,8
2021-11-01,4
2021-12-01,3
2022-01-01,3
2022-02-01,3
2022-03-01,2
2022-04-01,3
2022-05-01,3
2022-06-01,100
2022-07-01,12
2022-08-01,6
2022-09-01,4
2022-10-01,10
2022-11-01,42
2022-12-01,6
2023-01-01,4
2023-02-01,3
2023-03-01,3
2023-04-01,5
2023-05-01,3
2023-06-01,10
2023-07-01,13
2023-08-01,52
2023-09-01,38
2023-10-01,56
2023-11-01,12
2023-12-01,5
2024-01-01,4
2024-02-01,6
2024-03-01,4
2024-04-01,6
2024-05-01,5
2024-06-01,3
2024-07-01,3
2024-08-01,4
2024-09-01,3
2024-10-01,3
2024-11-01,4
2024-12-01,3
2025-01-01,3
2025-02-01,56
2025-03-01,8
2025-04-01,5
2025-05-01,5
2025-06-01,4
2025-07-01,11
2025-08-01,9
