date,impact of consumer spending
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,19
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,16
2020-10-11,19
2020-10-18,25
2020-10-25,13
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,14
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,18
2021-02-07,0
2021-02-14,0
2021-02-21,18
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,13
2021-03-28,23
2021-04-04,20
2021-04-11,19
2021-04-18,18
2021-04-25,0
2021-05-02,19
2021-05-09,16
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,17
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,19
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,23
2021-11-07,18
2021-11-14,23
2021-11-21,0
2021-11-28,0
2021-12-05,15
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,19
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,16
2022-02-06,18
2022-02-13,25
2022-02-20,24
2022-02-27,35
2022-03-06,48
2022-03-13,32
2022-03-20,23
2022-03-27,38
2022-04-03,18
2022-04-10,24
2022-04-17,20
2022-04-24,24
2022-05-01,14
2022-05-08,20
2022-05-15,17
2022-05-22,10
2022-05-29,0
2022-06-05,0
2022-06-12,13
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,13
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,15
2022-08-28,16
2022-09-04,0
2022-09-11,0
2022-09-18,12
2022-09-25,22
2022-10-02,18
2022-10-09,17
2022-10-16,14
2022-10-23,26
2022-10-30,26
2022-11-06,18
2022-11-13,25
2022-11-20,21
2022-11-27,34
2022-12-04,22
2022-12-11,17
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,11
2023-01-15,18
2023-01-22,18
2023-01-29,15
2023-02-05,16
2023-02-12,43
2023-02-19,39
2023-02-26,56
2023-03-05,65
2023-03-12,54
2023-03-19,31
2023-03-26,23
2023-04-02,24
2023-04-09,26
2023-04-16,29
2023-04-23,36
2023-04-30,26
2023-05-07,26
2023-05-14,19
2023-05-21,16
2023-05-28,14
2023-06-04,17
2023-06-11,16
2023-06-18,13
2023-06-25,16
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,15
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,12
2023-09-03,16
2023-09-10,24
2023-09-17,21
2023-09-24,19
2023-10-01,25
2023-10-08,30
2023-10-15,27
2023-10-22,22
2023-10-29,27
2023-11-05,36
2023-11-12,42
2023-11-19,26
2023-11-26,36
2023-12-03,39
2023-12-10,40
2023-12-17,23
2023-12-24,0
2023-12-31,0
2024-01-07,19
2024-01-14,20
2024-01-21,31
2024-01-28,27
2024-02-04,40
2024-02-11,40
2024-02-18,79
2024-02-25,76
2024-03-03,88
2024-03-10,58
2024-03-17,42
2024-03-24,38
2024-03-31,36
2024-04-07,53
2024-04-14,58
2024-04-21,56
2024-04-28,53
2024-05-05,33
2024-05-12,31
2024-05-19,25
2024-05-26,22
2024-06-02,29
2024-06-09,24
2024-06-16,20
2024-06-23,22
2024-06-30,21
2024-07-07,16
2024-07-14,28
2024-07-21,17
2024-07-28,0
2024-08-04,17
2024-08-11,13
2024-08-18,19
2024-08-25,18
2024-09-01,26
2024-09-08,28
2024-09-15,46
2024-09-22,35
2024-09-29,39
2024-10-06,29
2024-10-13,30
2024-10-20,39
2024-10-27,36
2024-11-03,39
2024-11-10,54
2024-11-17,32
2024-11-24,18
2024-12-01,47
2024-12-08,52
2024-12-15,30
2024-12-22,0
2024-12-29,0
2025-01-05,34
2025-01-12,20
2025-01-19,34
2025-01-26,48
2025-02-02,49
2025-02-09,68
2025-02-16,90
2025-02-23,100
2025-03-02,73
2025-03-09,85
2025-03-16,58
2025-03-23,30
2025-03-30,68
2025-04-06,60
2025-04-13,58
2025-04-20,46
2025-04-27,39
2025-05-04,50
2025-05-11,39
2025-05-18,35
2025-05-25,18
2025-06-01,24
2025-06-08,50
2025-06-15,33
2025-06-22,27
2025-06-29,24
2025-07-06,0
2025-07-13,33
2025-07-20,17
2025-07-27,35
