date,JD.com stock price
2020-08-02,43
2020-08-09,38
2020-08-16,82
2020-08-23,99
2020-08-30,83
2020-09-06,59
2020-09-13,56
2020-09-20,38
2020-09-27,52
2020-10-04,45
2020-10-11,55
2020-10-18,52
2020-10-25,53
2020-11-01,63
2020-11-08,100
2020-11-15,93
2020-11-22,57
2020-11-29,64
2020-12-06,66
2020-12-13,54
2020-12-20,46
2020-12-27,72
2021-01-03,86
2021-01-10,57
2021-01-17,52
2021-01-24,64
2021-01-31,64
2021-02-07,53
2021-02-14,43
2021-02-21,46
2021-02-28,42
2021-03-07,47
2021-03-14,52
2021-03-21,42
2021-03-28,44
2021-04-04,33
2021-04-11,30
2021-04-18,43
2021-04-25,39
2021-05-02,40
2021-05-09,39
2021-05-16,42
2021-05-23,35
2021-05-30,31
2021-06-06,35
2021-06-13,43
2021-06-20,40
2021-06-27,33
2021-07-04,43
2021-07-11,31
2021-07-18,33
2021-07-25,40
2021-08-01,47
2021-08-08,29
2021-08-15,35
2021-08-22,66
2021-08-29,37
2021-09-05,42
2021-09-12,20
2021-09-19,33
2021-09-26,22
2021-10-03,22
2021-10-10,15
2021-10-17,29
2021-10-24,24
2021-10-31,22
2021-11-07,25
2021-11-14,28
2021-11-21,21
2021-11-28,30
2021-12-05,35
2021-12-12,23
2021-12-19,24
2021-12-26,21
2022-01-02,21
2022-01-09,24
2022-01-16,20
2022-01-23,34
2022-01-30,19
2022-02-06,22
2022-02-13,20
2022-02-20,21
2022-02-27,10
2022-03-06,33
2022-03-13,45
2022-03-20,28
2022-03-27,21
2022-04-03,11
2022-04-10,0
2022-04-17,15
2022-04-24,22
2022-05-01,16
2022-05-08,14
2022-05-15,22
2022-05-22,10
2022-05-29,9
2022-06-05,17
2022-06-12,19
2022-06-19,16
2022-06-26,11
2022-07-03,16
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,17
2022-08-07,0
2022-08-14,11
2022-08-21,15
2022-08-28,0
2022-09-04,8
2022-09-11,8
2022-09-18,11
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,15
2022-10-30,17
2022-11-06,8
2022-11-13,18
2022-11-20,9
2022-11-27,8
2022-12-04,15
2022-12-11,11
2022-12-18,0
2022-12-25,12
2023-01-01,9
2023-01-08,12
2023-01-15,10
2023-01-22,0
2023-01-29,13
2023-02-05,10
2023-02-12,11
2023-02-19,14
2023-02-26,0
2023-03-05,16
2023-03-12,10
2023-03-19,0
2023-03-26,11
2023-04-02,11
2023-04-09,0
2023-04-16,12
2023-04-23,0
2023-04-30,10
2023-05-07,12
2023-05-14,12
2023-05-21,15
2023-05-28,18
2023-06-04,8
2023-06-11,14
2023-06-18,11
2023-06-25,0
2023-07-02,10
2023-07-09,20
2023-07-16,10
2023-07-23,17
2023-07-30,12
2023-08-06,16
2023-08-13,15
2023-08-20,0
2023-08-27,12
2023-09-03,0
2023-09-10,13
2023-09-17,13
2023-09-24,0
2023-10-01,0
2023-10-08,12
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,11
2023-11-12,15
2023-11-19,11
2023-11-26,10
2023-12-03,14
2023-12-10,0
2023-12-17,15
2023-12-24,12
2023-12-31,9
2024-01-07,17
2024-01-14,16
2024-01-21,15
2024-01-28,10
2024-02-04,17
2024-02-11,14
2024-02-18,15
2024-02-25,16
2024-03-03,24
2024-03-10,22
2024-03-17,21
2024-03-24,13
2024-03-31,21
2024-04-07,9
2024-04-14,10
2024-04-21,19
2024-04-28,10
2024-05-05,20
2024-05-12,18
2024-05-19,16
2024-05-26,16
2024-06-02,17
2024-06-09,19
2024-06-16,0
2024-06-23,10
2024-06-30,11
2024-07-07,0
2024-07-14,10
2024-07-21,0
2024-07-28,15
2024-08-04,10
2024-08-11,17
2024-08-18,25
2024-08-25,15
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,36
2024-09-29,46
2024-10-06,40
2024-10-13,24
2024-10-20,15
2024-10-27,13
2024-11-03,10
2024-11-10,20
2024-11-17,25
2024-11-24,11
2024-12-01,17
2024-12-08,14
2024-12-15,12
2024-12-22,15
2024-12-29,17
2025-01-05,0
2025-01-12,14
2025-01-19,15
2025-01-26,17
2025-02-02,23
2025-02-09,29
2025-02-16,24
2025-02-23,20
2025-03-02,23
2025-03-09,22
2025-03-16,20
2025-03-23,11
2025-03-30,13
2025-04-06,20
2025-04-13,0
2025-04-20,11
2025-04-27,0
2025-05-04,15
2025-05-11,20
2025-05-18,18
2025-05-25,14
2025-06-01,0
2025-06-08,0
2025-06-15,0
2025-06-22,10
2025-06-29,0
2025-07-06,14
2025-07-13,19
2025-07-20,15
2025-07-27,33
