date,impact of GDP
2020-08-02,13
2020-08-09,16
2020-08-16,14
2020-08-23,17
2020-08-30,29
2020-09-06,25
2020-09-13,23
2020-09-20,23
2020-09-27,22
2020-10-04,24
2020-10-11,28
2020-10-18,20
2020-10-25,22
2020-11-01,23
2020-11-08,24
2020-11-15,23
2020-11-22,22
2020-11-29,23
2020-12-06,23
2020-12-13,22
2020-12-20,14
2020-12-27,13
2021-01-03,13
2021-01-10,16
2021-01-17,15
2021-01-24,16
2021-01-31,20
2021-02-07,19
2021-02-14,19
2021-02-21,24
2021-02-28,23
2021-03-07,22
2021-03-14,21
2021-03-21,23
2021-03-28,24
2021-04-04,26
2021-04-11,24
2021-04-18,27
2021-04-25,23
2021-05-02,27
2021-05-09,22
2021-05-16,19
2021-05-23,22
2021-05-30,17
2021-06-06,16
2021-06-13,19
2021-06-20,14
2021-06-27,14
2021-07-04,11
2021-07-11,12
2021-07-18,11
2021-07-25,11
2021-08-01,10
2021-08-08,15
2021-08-15,14
2021-08-22,9
2021-08-29,13
2021-09-05,12
2021-09-12,13
2021-09-19,21
2021-09-26,18
2021-10-03,19
2021-10-10,19
2021-10-17,25
2021-10-24,22
2021-10-31,19
2021-11-07,23
2021-11-14,25
2021-11-21,18
2021-11-28,26
2021-12-05,22
2021-12-12,18
2021-12-19,11
2021-12-26,8
2022-01-02,13
2022-01-09,17
2022-01-16,16
2022-01-23,24
2022-01-30,23
2022-02-06,21
2022-02-13,34
2022-02-20,32
2022-02-27,38
2022-03-06,33
2022-03-13,35
2022-03-20,36
2022-03-27,36
2022-04-03,39
2022-04-10,34
2022-04-17,33
2022-04-24,33
2022-05-01,33
2022-05-08,33
2022-05-15,28
2022-05-22,32
2022-05-29,23
2022-06-05,23
2022-06-12,17
2022-06-19,19
2022-06-26,17
2022-07-03,16
2022-07-10,15
2022-07-17,15
2022-07-24,18
2022-07-31,15
2022-08-07,17
2022-08-14,19
2022-08-21,18
2022-08-28,18
2022-09-04,18
2022-09-11,21
2022-09-18,26
2022-09-25,24
2022-10-02,25
2022-10-09,26
2022-10-16,26
2022-10-23,29
2022-10-30,31
2022-11-06,31
2022-11-13,33
2022-11-20,26
2022-11-27,30
2022-12-04,34
2022-12-11,31
2022-12-18,14
2022-12-25,12
2023-01-01,15
2023-01-08,20
2023-01-15,25
2023-01-22,25
2023-01-29,31
2023-02-05,25
2023-02-12,29
2023-02-19,26
2023-02-26,29
2023-03-05,30
2023-03-12,32
2023-03-19,28
2023-03-26,31
2023-04-02,30
2023-04-09,28
2023-04-16,34
2023-04-23,35
2023-04-30,34
2023-05-07,24
2023-05-14,28
2023-05-21,24
2023-05-28,20
2023-06-04,21
2023-06-11,20
2023-06-18,17
2023-06-25,13
2023-07-02,16
2023-07-09,16
2023-07-16,11
2023-07-23,18
2023-07-30,14
2023-08-06,15
2023-08-13,13
2023-08-20,13
2023-08-27,16
2023-09-03,19
2023-09-10,26
2023-09-17,23
2023-09-24,27
2023-10-01,27
2023-10-08,28
2023-10-15,29
2023-10-22,31
2023-10-29,31
2023-11-05,36
2023-11-12,35
2023-11-19,26
2023-11-26,34
2023-12-03,38
2023-12-10,28
2023-12-17,20
2023-12-24,11
2023-12-31,13
2024-01-07,20
2024-01-14,22
2024-01-21,27
2024-01-28,28
2024-02-04,32
2024-02-11,31
2024-02-18,32
2024-02-25,35
2024-03-03,33
2024-03-10,28
2024-03-17,35
2024-03-24,29
2024-03-31,28
2024-04-07,34
2024-04-14,37
2024-04-21,39
2024-04-28,32
2024-05-05,33
2024-05-12,30
2024-05-19,25
2024-05-26,19
2024-06-02,18
2024-06-09,22
2024-06-16,20
2024-06-23,19
2024-06-30,17
2024-07-07,15
2024-07-14,15
2024-07-21,19
2024-07-28,14
2024-08-04,10
2024-08-11,15
2024-08-18,13
2024-08-25,18
2024-09-01,17
2024-09-08,22
2024-09-15,24
2024-09-22,23
2024-09-29,31
2024-10-06,24
2024-10-13,29
2024-10-20,24
2024-10-27,25
2024-11-03,32
2024-11-10,37
2024-11-17,36
2024-11-24,24
2024-12-01,32
2024-12-08,32
2024-12-15,29
2024-12-22,10
2024-12-29,11
2025-01-05,18
2025-01-12,21
2025-01-19,20
2025-01-26,29
2025-02-02,39
2025-02-09,39
2025-02-16,43
2025-02-23,44
2025-03-02,39
2025-03-09,37
2025-03-16,38
2025-03-23,35
2025-03-30,47
2025-04-06,37
2025-04-13,34
2025-04-20,33
2025-04-27,47
2025-05-04,40
2025-05-11,31
2025-05-18,30
2025-05-25,25
2025-06-01,40
2025-06-08,51
2025-06-15,34
2025-06-22,38
2025-06-29,38
2025-07-06,27
2025-07-13,34
2025-07-20,52
2025-07-27,100
