date,industrial production
2020-08-02,18
2020-08-09,21
2020-08-16,20
2020-08-23,23
2020-08-30,24
2020-09-06,27
2020-09-13,34
2020-09-20,32
2020-09-27,30
2020-10-04,31
2020-10-11,34
2020-10-18,30
2020-10-25,25
2020-11-01,26
2020-11-08,27
2020-11-15,29
2020-11-22,24
2020-11-29,28
2020-12-06,30
2020-12-13,30
2020-12-20,18
2020-12-27,18
2021-01-03,23
2021-01-10,25
2021-01-17,27
2021-01-24,28
2021-01-31,30
2021-02-07,28
2021-02-14,30
2021-02-21,33
2021-02-28,30
2021-03-07,30
2021-03-14,31
2021-03-21,27
2021-03-28,26
2021-04-04,29
2021-04-11,31
2021-04-18,28
2021-04-25,28
2021-05-02,28
2021-05-09,27
2021-05-16,28
2021-05-23,22
2021-05-30,22
2021-06-06,22
2021-06-13,26
2021-06-20,21
2021-06-27,21
2021-07-04,19
2021-07-11,25
2021-07-18,20
2021-07-25,20
2021-08-01,19
2021-08-08,19
2021-08-15,20
2021-08-22,21
2021-08-29,25
2021-09-05,23
2021-09-12,26
2021-09-19,26
2021-09-26,25
2021-10-03,24
2021-10-10,24
2021-10-17,31
2021-10-24,31
2021-10-31,25
2021-11-07,29
2021-11-14,30
2021-11-21,23
2021-11-28,29
2021-12-05,29
2021-12-12,29
2021-12-19,19
2021-12-26,15
2022-01-02,28
2022-01-09,32
2022-01-16,35
2022-01-23,40
2022-01-30,39
2022-02-06,41
2022-02-13,47
2022-02-20,51
2022-02-27,47
2022-03-06,44
2022-03-13,45
2022-03-20,42
2022-03-27,52
2022-04-03,49
2022-04-10,41
2022-04-17,48
2022-04-24,49
2022-05-01,42
2022-05-08,42
2022-05-15,37
2022-05-22,33
2022-05-29,26
2022-06-05,30
2022-06-12,27
2022-06-19,27
2022-06-26,24
2022-07-03,23
2022-07-10,24
2022-07-17,22
2022-07-24,21
2022-07-31,21
2022-08-07,20
2022-08-14,22
2022-08-21,27
2022-08-28,28
2022-09-04,30
2022-09-11,36
2022-09-18,37
2022-09-25,36
2022-10-02,33
2022-10-09,35
2022-10-16,40
2022-10-23,38
2022-10-30,40
2022-11-06,41
2022-11-13,45
2022-11-20,31
2022-11-27,43
2022-12-04,44
2022-12-11,45
2022-12-18,27
2022-12-25,20
2023-01-01,29
2023-01-08,42
2023-01-15,43
2023-01-22,42
2023-01-29,45
2023-02-05,49
2023-02-12,47
2023-02-19,45
2023-02-26,46
2023-03-05,46
2023-03-12,47
2023-03-19,43
2023-03-26,44
2023-04-02,36
2023-04-09,38
2023-04-16,41
2023-04-23,42
2023-04-30,39
2023-05-07,37
2023-05-14,35
2023-05-21,32
2023-05-28,24
2023-06-04,28
2023-06-11,28
2023-06-18,26
2023-06-25,22
2023-07-02,20
2023-07-09,22
2023-07-16,24
2023-07-23,22
2023-07-30,21
2023-08-06,22
2023-08-13,24
2023-08-20,25
2023-08-27,27
2023-09-03,27
2023-09-10,35
2023-09-17,33
2023-09-24,34
2023-10-01,34
2023-10-08,39
2023-10-15,39
2023-10-22,36
2023-10-29,39
2023-11-05,41
2023-11-12,38
2023-11-19,29
2023-11-26,43
2023-12-03,46
2023-12-10,44
2023-12-17,27
2023-12-24,17
2023-12-31,23
2024-01-07,40
2024-01-14,39
2024-01-21,49
2024-01-28,54
2024-02-04,51
2024-02-11,51
2024-02-18,50
2024-02-25,54
2024-03-03,52
2024-03-10,46
2024-03-17,48
2024-03-24,39
2024-03-31,39
2024-04-07,43
2024-04-14,44
2024-04-21,45
2024-04-28,45
2024-05-05,40
2024-05-12,40
2024-05-19,30
2024-05-26,28
2024-06-02,27
2024-06-09,30
2024-06-16,26
2024-06-23,23
2024-06-30,22
2024-07-07,24
2024-07-14,23
2024-07-21,23
2024-07-28,23
2024-08-04,24
2024-08-11,24
2024-08-18,26
2024-08-25,28
2024-09-01,34
2024-09-08,37
2024-09-15,38
2024-09-22,37
2024-09-29,39
2024-10-06,37
2024-10-13,39
2024-10-20,45
2024-10-27,41
2024-11-03,40
2024-11-10,44
2024-11-17,46
2024-11-24,30
2024-12-01,45
2024-12-08,48
2024-12-15,43
2024-12-22,19
2024-12-29,19
2025-01-05,37
2025-01-12,45
2025-01-19,42
2025-01-26,47
2025-02-02,52
2025-02-09,55
2025-02-16,46
2025-02-23,50
2025-03-02,48
2025-03-09,47
2025-03-16,45
2025-03-23,46
2025-03-30,47
2025-04-06,47
2025-04-13,41
2025-04-20,46
2025-04-27,46
2025-05-04,46
2025-05-11,38
2025-05-18,35
2025-05-25,30
2025-06-01,31
2025-06-08,100
2025-06-15,41
2025-06-22,42
2025-06-29,42
2025-07-06,46
2025-07-13,47
2025-07-20,40
2025-07-27,52
