date,impact of foreign exchange
2020-08-02,21
2020-08-09,27
2020-08-16,0
2020-08-23,32
2020-08-30,23
2020-09-06,34
2020-09-13,31
2020-09-20,38
2020-09-27,44
2020-10-04,43
2020-10-11,41
2020-10-18,39
2020-10-25,41
2020-11-01,37
2020-11-08,30
2020-11-15,18
2020-11-22,50
2020-11-29,30
2020-12-06,65
2020-12-13,61
2020-12-20,20
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,24
2021-01-24,34
2021-01-31,36
2021-02-07,40
2021-02-14,26
2021-02-21,33
2021-02-28,22
2021-03-07,46
2021-03-14,33
2021-03-21,26
2021-03-28,38
2021-04-04,40
2021-04-11,51
2021-04-18,52
2021-04-25,39
2021-05-02,52
2021-05-09,38
2021-05-16,54
2021-05-23,25
2021-05-30,24
2021-06-06,45
2021-06-13,39
2021-06-20,33
2021-06-27,0
2021-07-04,24
2021-07-11,41
2021-07-18,24
2021-07-25,25
2021-08-01,25
2021-08-08,21
2021-08-15,19
2021-08-22,20
2021-08-29,42
2021-09-05,36
2021-09-12,28
2021-09-19,31
2021-09-26,21
2021-10-03,39
2021-10-10,42
2021-10-17,34
2021-10-24,35
2021-10-31,44
2021-11-07,42
2021-11-14,45
2021-11-21,27
2021-11-28,36
2021-12-05,42
2021-12-12,58
2021-12-19,0
2021-12-26,0
2022-01-02,23
2022-01-09,35
2022-01-16,48
2022-01-23,49
2022-01-30,54
2022-02-06,35
2022-02-13,50
2022-02-20,40
2022-02-27,69
2022-03-06,62
2022-03-13,64
2022-03-20,60
2022-03-27,76
2022-04-03,73
2022-04-10,52
2022-04-17,77
2022-04-24,79
2022-05-01,64
2022-05-08,98
2022-05-15,52
2022-05-22,42
2022-05-29,18
2022-06-05,37
2022-06-12,47
2022-06-19,32
2022-06-26,45
2022-07-03,28
2022-07-10,16
2022-07-17,27
2022-07-24,35
2022-07-31,27
2022-08-07,39
2022-08-14,23
2022-08-21,29
2022-08-28,39
2022-09-04,27
2022-09-11,46
2022-09-18,37
2022-09-25,48
2022-10-02,57
2022-10-09,64
2022-10-16,54
2022-10-23,40
2022-10-30,46
2022-11-06,66
2022-11-13,54
2022-11-20,62
2022-11-27,65
2022-12-04,71
2022-12-11,90
2022-12-18,23
2022-12-25,37
2023-01-01,25
2023-01-08,42
2023-01-15,64
2023-01-22,36
2023-01-29,61
2023-02-05,44
2023-02-12,50
2023-02-19,55
2023-02-26,64
2023-03-05,53
2023-03-12,85
2023-03-19,68
2023-03-26,75
2023-04-02,58
2023-04-09,69
2023-04-16,85
2023-04-23,57
2023-04-30,64
2023-05-07,45
2023-05-14,61
2023-05-21,47
2023-05-28,37
2023-06-04,35
2023-06-11,23
2023-06-18,36
2023-06-25,26
2023-07-02,21
2023-07-09,31
2023-07-16,17
2023-07-23,19
2023-07-30,27
2023-08-06,29
2023-08-13,32
2023-08-20,0
2023-08-27,30
2023-09-03,41
2023-09-10,50
2023-09-17,40
2023-09-24,34
2023-10-01,55
2023-10-08,41
2023-10-15,53
2023-10-22,46
2023-10-29,57
2023-11-05,52
2023-11-12,72
2023-11-19,48
2023-11-26,78
2023-12-03,100
2023-12-10,70
2023-12-17,36
2023-12-24,23
2023-12-31,25
2024-01-07,35
2024-01-14,28
2024-01-21,41
2024-01-28,59
2024-02-04,52
2024-02-11,58
2024-02-18,54
2024-02-25,59
2024-03-03,81
2024-03-10,80
2024-03-17,85
2024-03-24,58
2024-03-31,53
2024-04-07,69
2024-04-14,79
2024-04-21,84
2024-04-28,88
2024-05-05,47
2024-05-12,56
2024-05-19,51
2024-05-26,39
2024-06-02,39
2024-06-09,30
2024-06-16,38
2024-06-23,0
2024-06-30,27
2024-07-07,42
2024-07-14,27
2024-07-21,40
2024-07-28,42
2024-08-04,28
2024-08-11,18
2024-08-18,19
2024-08-25,25
2024-09-01,47
2024-09-08,52
2024-09-15,44
2024-09-22,41
2024-09-29,53
2024-10-06,58
2024-10-13,63
2024-10-20,58
2024-10-27,60
2024-11-03,52
2024-11-10,83
2024-11-17,63
2024-11-24,54
2024-12-01,71
2024-12-08,81
2024-12-15,55
2024-12-22,29
2024-12-29,26
2025-01-05,40
2025-01-12,40
2025-01-19,36
2025-01-26,81
2025-02-02,77
2025-02-09,75
2025-02-16,74
2025-02-23,50
2025-03-02,62
2025-03-09,73
2025-03-16,72
2025-03-23,89
2025-03-30,74
2025-04-06,61
2025-04-13,85
2025-04-20,76
2025-04-27,99
2025-05-04,80
2025-05-11,83
2025-05-18,52
2025-05-25,54
2025-06-01,54
2025-06-08,73
2025-06-15,49
2025-06-22,74
2025-06-29,51
2025-07-06,49
2025-07-13,71
2025-07-20,58
2025-07-27,72
