date,Azure price
2020-08-02,9
2020-08-09,8
2020-08-16,8
2020-08-23,8
2020-08-30,9
2020-09-06,9
2020-09-13,10
2020-09-20,8
2020-09-27,9
2020-10-04,8
2020-10-11,8
2020-10-18,7
2020-10-25,8
2020-11-01,7
2020-11-08,9
2020-11-15,7
2020-11-22,8
2020-11-29,8
2020-12-06,8
2020-12-13,8
2020-12-20,6
2020-12-27,6
2021-01-03,8
2021-01-10,8
2021-01-17,9
2021-01-24,9
2021-01-31,10
2021-02-07,9
2021-02-14,9
2021-02-21,8
2021-02-28,9
2021-03-07,8
2021-03-14,9
2021-03-21,9
2021-03-28,7
2021-04-04,7
2021-04-11,8
2021-04-18,10
2021-04-25,9
2021-05-02,9
2021-05-09,8
2021-05-16,8
2021-05-23,9
2021-05-30,9
2021-06-06,9
2021-06-13,9
2021-06-20,10
2021-06-27,8
2021-07-04,9
2021-07-11,10
2021-07-18,8
2021-07-25,6
2021-08-01,8
2021-08-08,7
2021-08-15,7
2021-08-22,7
2021-08-29,7
2021-09-05,8
2021-09-12,8
2021-09-19,7
2021-09-26,9
2021-10-03,9
2021-10-10,8
2021-10-17,10
2021-10-24,9
2021-10-31,8
2021-11-07,8
2021-11-14,8
2021-11-21,9
2021-11-28,9
2021-12-05,8
2021-12-12,8
2021-12-19,6
2021-12-26,6
2022-01-02,10
2022-01-09,12
2022-01-16,11
2022-01-23,13
2022-01-30,12
2022-02-06,12
2022-02-13,14
2022-02-20,12
2022-02-27,11
2022-03-06,12
2022-03-13,11
2022-03-20,12
2022-03-27,12
2022-04-03,12
2022-04-10,11
2022-04-17,10
2022-04-24,11
2022-05-01,11
2022-05-08,12
2022-05-15,11
2022-05-22,11
2022-05-29,11
2022-06-05,10
2022-06-12,12
2022-06-19,12
2022-06-26,11
2022-07-03,11
2022-07-10,10
2022-07-17,11
2022-07-24,11
2022-07-31,11
2022-08-07,10
2022-08-14,11
2022-08-21,11
2022-08-28,12
2022-09-04,11
2022-09-11,13
2022-09-18,12
2022-09-25,12
2022-10-02,10
2022-10-09,12
2022-10-16,12
2022-10-23,12
2022-10-30,12
2022-11-06,12
2022-11-13,11
2022-11-20,11
2022-11-27,11
2022-12-04,11
2022-12-11,12
2022-12-18,10
2022-12-25,8
2023-01-01,11
2023-01-08,12
2023-01-15,12
2023-01-22,13
2023-01-29,13
2023-02-05,13
2023-02-12,12
2023-02-19,13
2023-02-26,12
2023-03-05,12
2023-03-12,13
2023-03-19,12
2023-03-26,12
2023-04-02,11
2023-04-09,12
2023-04-16,12
2023-04-23,12
2023-04-30,11
2023-05-07,11
2023-05-14,12
2023-05-21,12
2023-05-28,11
2023-06-04,12
2023-06-11,14
2023-06-18,13
2023-06-25,13
2023-07-02,14
2023-07-09,14
2023-07-16,13
2023-07-23,13
2023-07-30,14
2023-08-06,14
2023-08-13,12
2023-08-20,13
2023-08-27,13
2023-09-03,14
2023-09-10,15
2023-09-17,13
2023-09-24,13
2023-10-01,12
2023-10-08,13
2023-10-15,13
2023-10-22,14
2023-10-29,14
2023-11-05,14
2023-11-12,14
2023-11-19,12
2023-11-26,13
2023-12-03,13
2023-12-10,12
2023-12-17,12
2023-12-24,10
2023-12-31,11
2024-01-07,13
2024-01-14,14
2024-01-21,13
2024-01-28,15
2024-02-04,16
2024-02-11,15
2024-02-18,15
2024-02-25,15
2024-03-03,16
2024-03-10,15
2024-03-17,15
2024-03-24,13
2024-03-31,12
2024-04-07,14
2024-04-14,14
2024-04-21,14
2024-04-28,14
2024-05-05,13
2024-05-12,13
2024-05-19,13
2024-05-26,12
2024-06-02,14
2024-06-09,14
2024-06-16,14
2024-06-23,13
2024-06-30,12
2024-07-07,13
2024-07-14,16
2024-07-21,14
2024-07-28,13
2024-08-04,12
2024-08-11,11
2024-08-18,13
2024-08-25,13
2024-09-01,12
2024-09-08,13
2024-09-15,12
2024-09-22,14
2024-09-29,11
2024-10-06,12
2024-10-13,12
2024-10-20,12
2024-10-27,10
2024-11-03,11
2024-11-10,12
2024-11-17,17
2024-11-24,13
2024-12-01,12
2024-12-08,12
2024-12-15,11
2024-12-22,9
2024-12-29,8
2025-01-05,13
2025-01-12,13
2025-01-19,13
2025-01-26,14
2025-02-02,15
2025-02-09,14
2025-02-16,16
2025-02-23,14
2025-03-02,13
2025-03-09,14
2025-03-16,14
2025-03-23,14
2025-03-30,14
2025-04-06,14
2025-04-13,13
2025-04-20,13
2025-04-27,13
2025-05-04,14
2025-05-11,15
2025-05-18,14
2025-05-25,13
2025-06-01,21
2025-06-08,32
2025-06-15,27
2025-06-22,26
2025-06-29,23
2025-07-06,22
2025-07-13,41
2025-07-20,61
2025-07-27,100
