date,probiotics
2020-08-02,60
2020-08-09,60
2020-08-16,59
2020-08-23,59
2020-08-30,59
2020-09-06,58
2020-09-13,61
2020-09-20,55
2020-09-27,56
2020-10-04,55
2020-10-11,57
2020-10-18,54
2020-10-25,53
2020-11-01,49
2020-11-08,56
2020-11-15,53
2020-11-22,51
2020-11-29,52
2020-12-06,52
2020-12-13,52
2020-12-20,49
2020-12-27,61
2021-01-03,66
2021-01-10,69
2021-01-17,68
2021-01-24,65
2021-01-31,64
2021-02-07,60
2021-02-14,60
2021-02-21,64
2021-02-28,64
2021-03-07,59
2021-03-14,61
2021-03-21,59
2021-03-28,62
2021-04-04,59
2021-04-11,59
2021-04-18,62
2021-04-25,64
2021-05-02,60
2021-05-09,59
2021-05-16,61
2021-05-23,60
2021-05-30,56
2021-06-06,63
2021-06-13,59
2021-06-20,59
2021-06-27,60
2021-07-04,62
2021-07-11,63
2021-07-18,66
2021-07-25,64
2021-08-01,62
2021-08-08,64
2021-08-15,66
2021-08-22,66
2021-08-29,61
2021-09-05,58
2021-09-12,62
2021-09-19,60
2021-09-26,57
2021-10-03,60
2021-10-10,60
2021-10-17,59
2021-10-24,57
2021-10-31,59
2021-11-07,57
2021-11-14,57
2021-11-21,54
2021-11-28,59
2021-12-05,58
2021-12-12,53
2021-12-19,52
2021-12-26,63
2022-01-02,70
2022-01-09,68
2022-01-16,62
2022-01-23,69
2022-01-30,73
2022-02-06,66
2022-02-13,68
2022-02-20,65
2022-02-27,66
2022-03-06,67
2022-03-13,63
2022-03-20,67
2022-03-27,66
2022-04-03,65
2022-04-10,65
2022-04-17,63
2022-04-24,74
2022-05-01,64
2022-05-08,66
2022-05-15,60
2022-05-22,61
2022-05-29,59
2022-06-05,67
2022-06-12,64
2022-06-19,64
2022-06-26,64
2022-07-03,63
2022-07-10,65
2022-07-17,75
2022-07-24,72
2022-07-31,73
2022-08-07,72
2022-08-14,71
2022-08-21,73
2022-08-28,70
2022-09-04,63
2022-09-11,66
2022-09-18,66
2022-09-25,63
2022-10-02,63
2022-10-09,63
2022-10-16,60
2022-10-23,64
2022-10-30,61
2022-11-06,60
2022-11-13,63
2022-11-20,54
2022-11-27,59
2022-12-04,57
2022-12-11,57
2022-12-18,54
2022-12-25,63
2023-01-01,75
2023-01-08,76
2023-01-15,78
2023-01-22,82
2023-01-29,77
2023-02-05,77
2023-02-12,69
2023-02-19,75
2023-02-26,75
2023-03-05,75
2023-03-12,74
2023-03-19,78
2023-03-26,75
2023-04-02,68
2023-04-09,69
2023-04-16,70
2023-04-23,75
2023-04-30,75
2023-05-07,66
2023-05-14,69
2023-05-21,69
2023-05-28,68
2023-06-04,67
2023-06-11,68
2023-06-18,72
2023-06-25,71
2023-07-02,70
2023-07-09,72
2023-07-16,71
2023-07-23,70
2023-07-30,71
2023-08-06,72
2023-08-13,72
2023-08-20,69
2023-08-27,70
2023-09-03,69
2023-09-10,70
2023-09-17,67
2023-09-24,65
2023-10-01,64
2023-10-08,65
2023-10-15,64
2023-10-22,66
2023-10-29,60
2023-11-05,64
2023-11-12,63
2023-11-19,62
2023-11-26,66
2023-12-03,63
2023-12-10,62
2023-12-17,61
2023-12-24,67
2023-12-31,81
2024-01-07,81
2024-01-14,82
2024-01-21,76
2024-01-28,83
2024-02-04,76
2024-02-11,76
2024-02-18,77
2024-02-25,78
2024-03-03,77
2024-03-10,75
2024-03-17,81
2024-03-24,80
2024-03-31,78
2024-04-07,73
2024-04-14,74
2024-04-21,78
2024-04-28,78
2024-05-05,76
2024-05-12,75
2024-05-19,73
2024-05-26,70
2024-06-02,73
2024-06-09,73
2024-06-16,72
2024-06-23,71
2024-06-30,68
2024-07-07,73
2024-07-14,78
2024-07-21,75
2024-07-28,75
2024-08-04,75
2024-08-11,81
2024-08-18,78
2024-08-25,78
2024-09-01,74
2024-09-08,73
2024-09-15,77
2024-09-22,73
2024-09-29,72
2024-10-06,70
2024-10-13,72
2024-10-20,79
2024-10-27,73
2024-11-03,75
2024-11-10,82
2024-11-17,80
2024-11-24,72
2024-12-01,74
2024-12-08,73
2024-12-15,74
2024-12-22,74
2024-12-29,93
2025-01-05,96
2025-01-12,95
2025-01-19,87
2025-01-26,95
2025-02-02,97
2025-02-09,86
2025-02-16,92
2025-02-23,88
2025-03-02,91
2025-03-09,92
2025-03-16,89
2025-03-23,89
2025-03-30,88
2025-04-06,92
2025-04-13,85
2025-04-20,86
2025-04-27,92
2025-05-04,83
2025-05-11,85
2025-05-18,86
2025-05-25,80
2025-06-01,86
2025-06-08,92
2025-06-15,88
2025-06-22,88
2025-06-29,83
2025-07-06,92
2025-07-13,92
2025-07-20,97
2025-07-27,100
