date,MS
2020-08-02,74
2020-08-09,85
2020-08-16,86
2020-08-23,79
2020-08-30,81
2020-09-06,82
2020-09-13,84
2020-09-20,83
2020-09-27,82
2020-10-04,81
2020-10-11,79
2020-10-18,78
2020-10-25,77
2020-11-01,72
2020-11-08,73
2020-11-15,80
2020-11-22,76
2020-11-29,79
2020-12-06,79
2020-12-13,77
2020-12-20,70
2020-12-27,74
2021-01-03,77
2021-01-10,82
2021-01-17,76
2021-01-24,81
2021-01-31,82
2021-02-07,78
2021-02-14,81
2021-02-21,84
2021-02-28,84
2021-03-07,78
2021-03-14,84
2021-03-21,82
2021-03-28,79
2021-04-04,80
2021-04-11,81
2021-04-18,80
2021-04-25,79
2021-05-02,80
2021-05-09,78
2021-05-16,86
2021-05-23,97
2021-05-30,94
2021-06-06,87
2021-06-13,85
2021-06-20,83
2021-06-27,80
2021-07-04,82
2021-07-11,78
2021-07-18,78
2021-07-25,78
2021-08-01,76
2021-08-08,80
2021-08-15,76
2021-08-22,84
2021-08-29,85
2021-09-05,79
2021-09-12,79
2021-09-19,79
2021-09-26,80
2021-10-03,82
2021-10-10,85
2021-10-17,82
2021-10-24,77
2021-10-31,75
2021-11-07,81
2021-11-14,80
2021-11-21,75
2021-11-28,77
2021-12-05,76
2021-12-12,81
2021-12-19,77
2021-12-26,74
2022-01-02,79
2022-01-09,81
2022-01-16,79
2022-01-23,79
2022-01-30,86
2022-02-06,80
2022-02-13,85
2022-02-20,80
2022-02-27,80
2022-03-06,80
2022-03-13,84
2022-03-20,85
2022-03-27,89
2022-04-03,80
2022-04-10,80
2022-04-17,79
2022-04-24,81
2022-05-01,81
2022-05-08,82
2022-05-15,88
2022-05-22,89
2022-05-29,82
2022-06-05,93
2022-06-12,93
2022-06-19,89
2022-06-26,83
2022-07-03,96
2022-07-10,89
2022-07-17,82
2022-07-24,71
2022-07-31,78
2022-08-07,75
2022-08-14,77
2022-08-21,78
2022-08-28,79
2022-09-04,77
2022-09-11,80
2022-09-18,78
2022-09-25,79
2022-10-02,80
2022-10-09,78
2022-10-16,75
2022-10-23,75
2022-10-30,77
2022-11-06,77
2022-11-13,89
2022-11-20,92
2022-11-27,92
2022-12-04,90
2022-12-11,77
2022-12-18,75
2022-12-25,72
2023-01-01,77
2023-01-08,75
2023-01-15,75
2023-01-22,78
2023-01-29,80
2023-02-05,79
2023-02-12,81
2023-02-19,80
2023-02-26,82
2023-03-05,77
2023-03-12,76
2023-03-19,79
2023-03-26,82
2023-04-02,77
2023-04-09,79
2023-04-16,77
2023-04-23,82
2023-04-30,75
2023-05-07,88
2023-05-14,92
2023-05-21,88
2023-05-28,85
2023-06-04,76
2023-06-11,76
2023-06-18,78
2023-06-25,76
2023-07-02,79
2023-07-09,77
2023-07-16,76
2023-07-23,71
2023-07-30,74
2023-08-06,76
2023-08-13,74
2023-08-20,75
2023-08-27,74
2023-09-03,77
2023-09-10,76
2023-09-17,76
2023-09-24,79
2023-10-01,76
2023-10-08,78
2023-10-15,77
2023-10-22,72
2023-10-29,73
2023-11-05,76
2023-11-12,74
2023-11-19,75
2023-11-26,75
2023-12-03,74
2023-12-10,73
2023-12-17,69
2023-12-24,68
2023-12-31,74
2024-01-07,73
2024-01-14,75
2024-01-21,73
2024-01-28,78
2024-02-04,77
2024-02-11,76
2024-02-18,81
2024-02-25,78
2024-03-03,81
2024-03-10,80
2024-03-17,81
2024-03-24,77
2024-03-31,79
2024-04-07,76
2024-04-14,82
2024-04-21,79
2024-04-28,80
2024-05-05,86
2024-05-12,94
2024-05-19,100
2024-05-26,82
2024-06-02,77
2024-06-09,74
2024-06-16,69
2024-06-23,77
2024-06-30,75
2024-07-07,78
2024-07-14,72
2024-07-21,77
2024-07-28,73
2024-08-04,79
2024-08-11,74
2024-08-18,75
2024-08-25,74
2024-09-01,76
2024-09-08,77
2024-09-15,79
2024-09-22,76
2024-09-29,76
2024-10-06,82
2024-10-13,76
2024-10-20,74
2024-10-27,76
2024-11-03,72
2024-11-10,73
2024-11-17,76
2024-11-24,70
2024-12-01,74
2024-12-08,75
2024-12-15,74
2024-12-22,67
2024-12-29,71
2025-01-05,76
2025-01-12,78
2025-01-19,80
2025-01-26,77
2025-02-02,80
2025-02-09,81
2025-02-16,76
2025-02-23,79
2025-03-02,78
2025-03-09,78
2025-03-16,79
2025-03-23,84
2025-03-30,81
2025-04-06,83
2025-04-13,82
2025-04-20,84
2025-04-27,88
2025-05-04,87
2025-05-11,88
2025-05-18,86
2025-05-25,79
2025-06-01,81
2025-06-08,76
2025-06-15,75
2025-06-22,77
2025-06-29,77
2025-07-06,79
2025-07-13,77
2025-07-20,79
2025-07-27,80
