date,American Express stock price
2020-08-02,31
2020-08-09,32
2020-08-16,25
2020-08-23,25
2020-08-30,30
2020-09-06,21
2020-09-13,22
2020-09-20,25
2020-09-27,18
2020-10-04,19
2020-10-11,24
2020-10-18,17
2020-10-25,25
2020-11-01,24
2020-11-08,32
2020-11-15,33
2020-11-22,27
2020-11-29,33
2020-12-06,27
2020-12-13,30
2020-12-20,13
2020-12-27,15
2021-01-03,24
2021-01-10,28
2021-01-17,25
2021-01-24,40
2021-01-31,35
2021-02-07,22
2021-02-14,25
2021-02-21,29
2021-02-28,28
2021-03-07,25
2021-03-14,30
2021-03-21,23
2021-03-28,18
2021-04-04,24
2021-04-11,26
2021-04-18,24
2021-04-25,21
2021-05-02,20
2021-05-09,21
2021-05-16,18
2021-05-23,27
2021-05-30,28
2021-06-06,20
2021-06-13,26
2021-06-20,26
2021-06-27,27
2021-07-04,21
2021-07-11,30
2021-07-18,22
2021-07-25,22
2021-08-01,26
2021-08-08,23
2021-08-15,20
2021-08-22,20
2021-08-29,22
2021-09-05,14
2021-09-12,16
2021-09-19,20
2021-09-26,19
2021-10-03,21
2021-10-10,20
2021-10-17,23
2021-10-24,25
2021-10-31,19
2021-11-07,24
2021-11-14,18
2021-11-21,23
2021-11-28,32
2021-12-05,26
2021-12-12,20
2021-12-19,22
2021-12-26,20
2022-01-02,24
2022-01-09,26
2022-01-16,21
2022-01-23,49
2022-01-30,29
2022-02-06,32
2022-02-13,27
2022-02-20,25
2022-02-27,34
2022-03-06,25
2022-03-13,30
2022-03-20,25
2022-03-27,21
2022-04-03,21
2022-04-10,18
2022-04-17,21
2022-04-24,26
2022-05-01,26
2022-05-08,29
2022-05-15,24
2022-05-22,25
2022-05-29,16
2022-06-05,17
2022-06-12,32
2022-06-19,17
2022-06-26,18
2022-07-03,16
2022-07-10,21
2022-07-17,20
2022-07-24,19
2022-07-31,23
2022-08-07,13
2022-08-14,18
2022-08-21,21
2022-08-28,20
2022-09-04,12
2022-09-11,20
2022-09-18,13
2022-09-25,15
2022-10-02,16
2022-10-09,19
2022-10-16,22
2022-10-23,17
2022-10-30,14
2022-11-06,17
2022-11-13,29
2022-11-20,14
2022-11-27,13
2022-12-04,20
2022-12-11,17
2022-12-18,10
2022-12-25,15
2023-01-01,22
2023-01-08,17
2023-01-15,16
2023-01-22,27
2023-01-29,27
2023-02-05,20
2023-02-12,20
2023-02-19,17
2023-02-26,25
2023-03-05,25
2023-03-12,38
2023-03-19,23
2023-03-26,15
2023-04-02,17
2023-04-09,18
2023-04-16,17
2023-04-23,21
2023-04-30,17
2023-05-07,16
2023-05-14,17
2023-05-21,20
2023-05-28,14
2023-06-04,16
2023-06-11,19
2023-06-18,15
2023-06-25,19
2023-07-02,17
2023-07-09,15
2023-07-16,17
2023-07-23,17
2023-07-30,18
2023-08-06,14
2023-08-13,16
2023-08-20,16
2023-08-27,18
2023-09-03,9
2023-09-10,15
2023-09-17,14
2023-09-24,14
2023-10-01,13
2023-10-08,13
2023-10-15,19
2023-10-22,12
2023-10-29,19
2023-11-05,11
2023-11-12,19
2023-11-19,17
2023-11-26,20
2023-12-03,22
2023-12-10,22
2023-12-17,22
2023-12-24,21
2023-12-31,19
2024-01-07,18
2024-01-14,17
2024-01-21,22
2024-01-28,27
2024-02-04,21
2024-02-11,21
2024-02-18,19
2024-02-25,27
2024-03-03,29
2024-03-10,29
2024-03-17,25
2024-03-24,20
2024-03-31,22
2024-04-07,18
2024-04-14,24
2024-04-21,14
2024-04-28,23
2024-05-05,25
2024-05-12,23
2024-05-19,17
2024-05-26,15
2024-06-02,24
2024-06-09,19
2024-06-16,26
2024-06-23,22
2024-06-30,16
2024-07-07,21
2024-07-14,22
2024-07-21,27
2024-07-28,23
2024-08-04,36
2024-08-11,22
2024-08-18,17
2024-08-25,25
2024-09-01,24
2024-09-08,13
2024-09-15,26
2024-09-22,21
2024-09-29,27
2024-10-06,22
2024-10-13,34
2024-10-20,26
2024-10-27,26
2024-11-03,23
2024-11-10,26
2024-11-17,25
2024-11-24,28
2024-12-01,31
2024-12-08,26
2024-12-15,34
2024-12-22,20
2024-12-29,19
2025-01-05,22
2025-01-12,31
2025-01-19,38
2025-01-26,39
2025-02-02,45
2025-02-09,22
2025-02-16,18
2025-02-23,23
2025-03-02,27
2025-03-09,31
2025-03-16,27
2025-03-23,27
2025-03-30,42
2025-04-06,55
2025-04-13,33
2025-04-20,29
2025-04-27,17
2025-05-04,34
2025-05-11,32
2025-05-18,25
2025-05-25,24
2025-06-01,26
2025-06-08,37
2025-06-15,27
2025-06-22,42
2025-06-29,33
2025-07-06,30
2025-07-13,48
2025-07-20,52
2025-07-27,100
