date,circular economy
2020-08-02,34
2020-08-09,33
2020-08-16,40
2020-08-23,41
2020-08-30,52
2020-09-06,59
2020-09-13,60
2020-09-20,67
2020-09-27,57
2020-10-04,54
2020-10-11,51
2020-10-18,48
2020-10-25,48
2020-11-01,47
2020-11-08,51
2020-11-15,47
2020-11-22,48
2020-11-29,48
2020-12-06,43
2020-12-13,44
2020-12-20,28
2020-12-27,24
2021-01-03,36
2021-01-10,43
2021-01-17,45
2021-01-24,53
2021-01-31,53
2021-02-07,52
2021-02-14,52
2021-02-21,59
2021-02-28,57
2021-03-07,56
2021-03-14,57
2021-03-21,58
2021-03-28,46
2021-04-04,50
2021-04-11,58
2021-04-18,61
2021-04-25,59
2021-05-02,53
2021-05-09,53
2021-05-16,53
2021-05-23,53
2021-05-30,49
2021-06-06,45
2021-06-13,44
2021-06-20,44
2021-06-27,42
2021-07-04,42
2021-07-11,44
2021-07-18,40
2021-07-25,42
2021-08-01,37
2021-08-08,38
2021-08-15,42
2021-08-22,45
2021-08-29,47
2021-09-05,47
2021-09-12,58
2021-09-19,60
2021-09-26,54
2021-10-03,57
2021-10-10,59
2021-10-17,60
2021-10-24,59
2021-10-31,55
2021-11-07,56
2021-11-14,60
2021-11-21,58
2021-11-28,58
2021-12-05,61
2021-12-12,50
2021-12-19,36
2021-12-26,28
2022-01-02,50
2022-01-09,63
2022-01-16,67
2022-01-23,82
2022-01-30,75
2022-02-06,83
2022-02-13,83
2022-02-20,85
2022-02-27,100
2022-03-06,91
2022-03-13,85
2022-03-20,82
2022-03-27,86
2022-04-03,84
2022-04-10,69
2022-04-17,82
2022-04-24,84
2022-05-01,72
2022-05-08,79
2022-05-15,75
2022-05-22,79
2022-05-29,68
2022-06-05,67
2022-06-12,69
2022-06-19,65
2022-06-26,60
2022-07-03,55
2022-07-10,52
2022-07-17,60
2022-07-24,53
2022-07-31,55
2022-08-07,52
2022-08-14,54
2022-08-21,59
2022-08-28,63
2022-09-04,65
2022-09-11,74
2022-09-18,76
2022-09-25,80
2022-10-02,76
2022-10-09,77
2022-10-16,80
2022-10-23,75
2022-10-30,78
2022-11-06,81
2022-11-13,81
2022-11-20,72
2022-11-27,73
2022-12-04,70
2022-12-11,70
2022-12-18,51
2022-12-25,34
2023-01-01,52
2023-01-08,67
2023-01-15,79
2023-01-22,81
2023-01-29,86
2023-02-05,89
2023-02-12,86
2023-02-19,92
2023-02-26,96
2023-03-05,90
2023-03-12,94
2023-03-19,84
2023-03-26,79
2023-04-02,64
2023-04-09,68
2023-04-16,75
2023-04-23,72
2023-04-30,71
2023-05-07,70
2023-05-14,78
2023-05-21,75
2023-05-28,71
2023-06-04,73
2023-06-11,71
2023-06-18,65
2023-06-25,60
2023-07-02,53
2023-07-09,59
2023-07-16,55
2023-07-23,62
2023-07-30,53
2023-08-06,55
2023-08-13,59
2023-08-20,61
2023-08-27,63
2023-09-03,74
2023-09-10,79
2023-09-17,85
2023-09-24,76
2023-10-01,75
2023-10-08,74
2023-10-15,77
2023-10-22,79
2023-10-29,70
2023-11-05,73
2023-11-12,77
2023-11-19,94
2023-11-26,78
2023-12-03,77
2023-12-10,72
2023-12-17,56
2023-12-24,35
2023-12-31,48
2024-01-07,62
2024-01-14,72
2024-01-21,80
2024-01-28,92
2024-02-04,89
2024-02-11,87
2024-02-18,94
2024-02-25,95
2024-03-03,96
2024-03-10,93
2024-03-17,88
2024-03-24,75
2024-03-31,75
2024-04-07,75
2024-04-14,83
2024-04-21,82
2024-04-28,79
2024-05-05,74
2024-05-12,75
2024-05-19,78
2024-05-26,72
2024-06-02,73
2024-06-09,73
2024-06-16,63
2024-06-23,60
2024-06-30,59
2024-07-07,65
2024-07-14,59
2024-07-21,60
2024-07-28,57
2024-08-04,57
2024-08-11,59
2024-08-18,62
2024-08-25,72
2024-09-01,73
2024-09-08,77
2024-09-15,82
2024-09-22,82
2024-09-29,82
2024-10-06,82
2024-10-13,79
2024-10-20,85
2024-10-27,72
2024-11-03,80
2024-11-10,79
2024-11-17,82
2024-11-24,82
2024-12-01,81
2024-12-08,80
2024-12-15,68
2024-12-22,38
2024-12-29,40
2025-01-05,67
2025-01-12,81
2025-01-19,80
2025-01-26,79
2025-02-02,86
2025-02-09,92
2025-02-16,89
2025-02-23,90
2025-03-02,89
2025-03-09,87
2025-03-16,89
2025-03-23,85
2025-03-30,84
2025-04-06,76
2025-04-13,70
2025-04-20,72
2025-04-27,81
2025-05-04,79
2025-05-11,89
2025-05-18,78
2025-05-25,72
2025-06-01,88
2025-06-08,94
2025-06-15,87
2025-06-22,75
2025-06-29,70
2025-07-06,72
2025-07-13,73
2025-07-20,76
2025-07-27,87
