date,Hydrogen CCS
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,47
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,40
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,100
2021-04-18,0
2021-04-25,42
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,54
2021-05-30,0
2021-06-06,0
2021-06-13,42
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,52
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,51
2022-01-23,46
2022-01-30,0
2022-02-06,0
2022-02-13,45
2022-02-20,41
2022-02-27,0
2022-03-06,0
2022-03-13,56
2022-03-20,0
2022-03-27,34
2022-04-03,38
2022-04-10,0
2022-04-17,0
2022-04-24,44
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,42
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,41
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,49
2022-07-31,48
2022-08-07,0
2022-08-14,39
2022-08-21,0
2022-08-28,43
2022-09-04,49
2022-09-11,0
2022-09-18,40
2022-09-25,0
2022-10-02,0
2022-10-09,47
2022-10-16,0
2022-10-23,0
2022-10-30,36
2022-11-06,36
2022-11-13,37
2022-11-20,0
2022-11-27,0
2022-12-04,61
2022-12-11,50
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,40
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,42
2023-02-19,0
2023-02-26,0
2023-03-05,48
2023-03-12,0
2023-03-19,0
2023-03-26,38
2023-04-02,0
2023-04-09,0
2023-04-16,36
2023-04-23,40
2023-04-30,43
2023-05-07,44
2023-05-14,35
2023-05-21,39
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,36
2023-07-09,40
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,38
2023-09-17,43
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,39
2023-11-05,46
2023-11-12,38
2023-11-19,0
2023-11-26,43
2023-12-03,40
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,48
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,56
2024-02-25,47
2024-03-03,0
2024-03-10,84
2024-03-17,0
2024-03-24,60
2024-03-31,0
2024-04-07,44
2024-04-14,63
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,49
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,60
2024-08-25,0
2024-09-01,42
2024-09-08,0
2024-09-15,41
2024-09-22,0
2024-09-29,41
2024-10-06,54
2024-10-13,60
2024-10-20,50
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,0
2024-11-24,0
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,48
2025-01-19,0
2025-01-26,48
2025-02-02,46
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,49
2025-04-27,0
2025-05-04,0
2025-05-11,46
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,0
2025-06-15,57
2025-06-22,0
2025-06-29,61
2025-07-06,54
2025-07-13,61
2025-07-20,0
2025-07-27,0
