date,Uber vs Uber
2020-08-02,15
2020-08-09,17
2020-08-16,18
2020-08-23,16
2020-08-30,16
2020-09-06,16
2020-09-13,17
2020-09-20,18
2020-09-27,17
2020-10-04,17
2020-10-11,18
2020-10-18,18
2020-10-25,17
2020-11-01,17
2020-11-08,17
2020-11-15,17
2020-11-22,17
2020-11-29,17
2020-12-06,20
2020-12-13,16
2020-12-20,16
2020-12-27,18
2021-01-03,15
2021-01-10,16
2021-01-17,16
2021-01-24,17
2021-01-31,17
2021-02-07,17
2021-02-14,18
2021-02-21,17
2021-02-28,16
2021-03-07,15
2021-03-14,17
2021-03-21,17
2021-03-28,19
2021-04-04,17
2021-04-11,16
2021-04-18,17
2021-04-25,18
2021-05-02,18
2021-05-09,16
2021-05-16,18
2021-05-23,17
2021-05-30,18
2021-06-06,20
2021-06-13,22
2021-06-20,19
2021-06-27,19
2021-07-04,19
2021-07-11,20
2021-07-18,20
2021-07-25,18
2021-08-01,18
2021-08-08,17
2021-08-15,18
2021-08-22,18
2021-08-29,18
2021-09-05,17
2021-09-12,18
2021-09-19,18
2021-09-26,18
2021-10-03,28
2021-10-10,94
2021-10-17,25
2021-10-24,19
2021-10-31,19
2021-11-07,20
2021-11-14,19
2021-11-21,18
2021-11-28,19
2021-12-05,18
2021-12-12,16
2021-12-19,16
2021-12-26,19
2022-01-02,22
2022-01-09,20
2022-01-16,17
2022-01-23,21
2022-01-30,20
2022-02-06,22
2022-02-13,22
2022-02-20,21
2022-02-27,21
2022-03-06,21
2022-03-13,28
2022-03-20,26
2022-03-27,26
2022-04-03,24
2022-04-10,24
2022-04-17,26
2022-04-24,24
2022-05-01,24
2022-05-08,100
2022-05-15,29
2022-05-22,24
2022-05-29,22
2022-06-05,24
2022-06-12,24
2022-06-19,22
2022-06-26,22
2022-07-03,23
2022-07-10,25
2022-07-17,23
2022-07-24,24
2022-07-31,25
2022-08-07,22
2022-08-14,22
2022-08-21,24
2022-08-28,22
2022-09-04,23
2022-09-11,25
2022-09-18,23
2022-09-25,24
2022-10-02,23
2022-10-09,22
2022-10-16,23
2022-10-23,22
2022-10-30,22
2022-11-06,24
2022-11-13,22
2022-11-20,23
2022-11-27,26
2022-12-04,24
2022-12-11,24
2022-12-18,22
2022-12-25,21
2023-01-01,21
2023-01-08,23
2023-01-15,24
2023-01-22,21
2023-01-29,23
2023-02-05,23
2023-02-12,23
2023-02-19,22
2023-02-26,23
2023-03-05,24
2023-03-12,22
2023-03-19,22
2023-03-26,22
2023-04-02,22
2023-04-09,23
2023-04-16,23
2023-04-23,23
2023-04-30,24
2023-05-07,23
2023-05-14,22
2023-05-21,22
2023-05-28,23
2023-06-04,25
2023-06-11,23
2023-06-18,22
2023-06-25,23
2023-07-02,22
2023-07-09,23
2023-07-16,23
2023-07-23,25
2023-07-30,24
2023-08-06,24
2023-08-13,24
2023-08-20,22
2023-08-27,23
2023-09-03,24
2023-09-10,25
2023-09-17,23
2023-09-24,23
2023-10-01,24
2023-10-08,28
2023-10-15,24
2023-10-22,27
2023-10-29,26
2023-11-05,23
2023-11-12,24
2023-11-19,24
2023-11-26,23
2023-12-03,24
2023-12-10,24
2023-12-17,23
2023-12-24,23
2023-12-31,24
2024-01-07,21
2024-01-14,24
2024-01-21,23
2024-01-28,25
2024-02-04,24
2024-02-11,26
2024-02-18,24
2024-02-25,25
2024-03-03,25
2024-03-10,24
2024-03-17,24
2024-03-24,26
2024-03-31,26
2024-04-07,24
2024-04-14,25
2024-04-21,27
2024-04-28,70
2024-05-05,35
2024-05-12,26
2024-05-19,27
2024-05-26,25
2024-06-02,26
2024-06-09,26
2024-06-16,27
2024-06-23,26
2024-06-30,27
2024-07-07,26
2024-07-14,27
2024-07-21,25
2024-07-28,24
2024-08-04,26
2024-08-11,26
2024-08-18,26
2024-08-25,26
2024-09-01,27
2024-09-08,26
2024-09-15,26
2024-09-22,25
2024-09-29,27
2024-10-06,26
2024-10-13,27
2024-10-20,29
2024-10-27,27
2024-11-03,28
2024-11-10,29
2024-11-17,28
2024-11-24,26
2024-12-01,28
2024-12-08,27
2024-12-15,30
2024-12-22,28
2024-12-29,30
2025-01-05,26
2025-01-12,27
2025-01-19,26
2025-01-26,28
2025-02-02,27
2025-02-09,26
2025-02-16,29
2025-02-23,28
2025-03-02,27
2025-03-09,26
2025-03-16,28
2025-03-23,29
2025-03-30,29
2025-04-06,27
2025-04-13,28
2025-04-20,29
2025-04-27,29
2025-05-04,31
2025-05-11,30
2025-05-18,28
2025-05-25,29
2025-06-01,35
2025-06-08,40
2025-06-15,41
2025-06-22,42
2025-06-29,40
2025-07-06,38
2025-07-13,50
2025-07-20,63
2025-07-27,88
