date,Pinterest
2020-08-02,60
2020-08-09,58
2020-08-16,61
2020-08-23,62
2020-08-30,63
2020-09-06,65
2020-09-13,65
2020-09-20,65
2020-09-27,64
2020-10-04,60
2020-10-11,61
2020-10-18,60
2020-10-25,64
2020-11-01,55
2020-11-08,63
2020-11-15,61
2020-11-22,62
2020-11-29,65
2020-12-06,64
2020-12-13,62
2020-12-20,57
2020-12-27,63
2021-01-03,61
2021-01-10,62
2021-01-17,62
2021-01-24,61
2021-01-31,62
2021-02-07,62
2021-02-14,63
2021-02-21,64
2021-02-28,62
2021-03-07,66
2021-03-14,62
2021-03-21,63
2021-03-28,64
2021-04-04,63
2021-04-11,62
2021-04-18,67
2021-04-25,61
2021-05-02,64
2021-05-09,62
2021-05-16,64
2021-05-23,61
2021-05-30,62
2021-06-06,63
2021-06-13,60
2021-06-20,62
2021-06-27,59
2021-07-04,61
2021-07-11,60
2021-07-18,58
2021-07-25,57
2021-08-01,57
2021-08-08,56
2021-08-15,57
2021-08-22,61
2021-08-29,58
2021-09-05,59
2021-09-12,62
2021-09-19,57
2021-09-26,58
2021-10-03,60
2021-10-10,60
2021-10-17,62
2021-10-24,60
2021-10-31,61
2021-11-07,60
2021-11-14,63
2021-11-21,61
2021-11-28,61
2021-12-05,61
2021-12-12,61
2021-12-19,61
2021-12-26,61
2022-01-02,72
2022-01-09,73
2022-01-16,70
2022-01-23,71
2022-01-30,80
2022-02-06,75
2022-02-13,75
2022-02-20,72
2022-02-27,73
2022-03-06,73
2022-03-13,71
2022-03-20,74
2022-03-27,76
2022-04-03,77
2022-04-10,78
2022-04-17,73
2022-04-24,75
2022-05-01,77
2022-05-08,77
2022-05-15,78
2022-05-22,76
2022-05-29,77
2022-06-05,77
2022-06-12,80
2022-06-19,80
2022-06-26,79
2022-07-03,80
2022-07-10,75
2022-07-17,80
2022-07-24,81
2022-07-31,81
2022-08-07,87
2022-08-14,83
2022-08-21,83
2022-08-28,83
2022-09-04,81
2022-09-11,88
2022-09-18,87
2022-09-25,85
2022-10-02,81
2022-10-09,81
2022-10-16,85
2022-10-23,90
2022-10-30,84
2022-11-06,84
2022-11-13,89
2022-11-20,80
2022-11-27,80
2022-12-04,81
2022-12-11,81
2022-12-18,87
2022-12-25,86
2023-01-01,82
2023-01-08,84
2023-01-15,82
2023-01-22,87
2023-01-29,87
2023-02-05,90
2023-02-12,87
2023-02-19,85
2023-02-26,84
2023-03-05,89
2023-03-12,85
2023-03-19,88
2023-03-26,87
2023-04-02,83
2023-04-09,83
2023-04-16,85
2023-04-23,84
2023-04-30,86
2023-05-07,88
2023-05-14,89
2023-05-21,82
2023-05-28,89
2023-06-04,88
2023-06-11,89
2023-06-18,85
2023-06-25,87
2023-07-02,91
2023-07-09,82
2023-07-16,81
2023-07-23,83
2023-07-30,87
2023-08-06,83
2023-08-13,83
2023-08-20,85
2023-08-27,85
2023-09-03,87
2023-09-10,82
2023-09-17,87
2023-09-24,89
2023-10-01,84
2023-10-08,90
2023-10-15,88
2023-10-22,87
2023-10-29,88
2023-11-05,84
2023-11-12,89
2023-11-19,88
2023-11-26,90
2023-12-03,89
2023-12-10,89
2023-12-17,85
2023-12-24,87
2023-12-31,86
2024-01-07,84
2024-01-14,86
2024-01-21,86
2024-01-28,82
2024-02-04,85
2024-02-11,82
2024-02-18,85
2024-02-25,86
2024-03-03,83
2024-03-10,83
2024-03-17,84
2024-03-24,80
2024-03-31,80
2024-04-07,78
2024-04-14,80
2024-04-21,84
2024-04-28,82
2024-05-05,83
2024-05-12,77
2024-05-19,83
2024-05-26,85
2024-06-02,80
2024-06-09,81
2024-06-16,76
2024-06-23,77
2024-06-30,78
2024-07-07,78
2024-07-14,78
2024-07-21,79
2024-07-28,78
2024-08-04,80
2024-08-11,85
2024-08-18,85
2024-08-25,86
2024-09-01,90
2024-09-08,91
2024-09-15,90
2024-09-22,90
2024-09-29,90
2024-10-06,92
2024-10-13,91
2024-10-20,93
2024-10-27,94
2024-11-03,93
2024-11-10,96
2024-11-17,96
2024-11-24,97
2024-12-01,96
2024-12-08,95
2024-12-15,91
2024-12-22,91
2024-12-29,95
2025-01-05,93
2025-01-12,96
2025-01-19,92
2025-01-26,94
2025-02-02,99
2025-02-09,99
2025-02-16,97
2025-02-23,98
2025-03-02,97
2025-03-09,93
2025-03-16,98
2025-03-23,96
2025-03-30,95
2025-04-06,95
2025-04-13,88
2025-04-20,93
2025-04-27,91
2025-05-04,98
2025-05-11,97
2025-05-18,98
2025-05-25,97
2025-06-01,98
2025-06-08,100
2025-06-15,95
2025-06-22,99
2025-06-29,95
2025-07-06,93
2025-07-13,94
2025-07-20,97
2025-07-27,97
