date,Lyft stock price
2020-08-02,35
2020-08-09,52
2020-08-16,52
2020-08-23,38
2020-08-30,35
2020-09-06,23
2020-09-13,27
2020-09-20,23
2020-09-27,19
2020-10-04,18
2020-10-11,23
2020-10-18,26
2020-10-25,26
2020-11-01,38
2020-11-08,54
2020-11-15,34
2020-11-22,28
2020-11-29,31
2020-12-06,39
2020-12-13,27
2020-12-20,22
2020-12-27,21
2021-01-03,23
2021-01-10,28
2021-01-17,16
2021-01-24,24
2021-01-31,22
2021-02-07,48
2021-02-14,21
2021-02-21,23
2021-02-28,29
2021-03-07,20
2021-03-14,24
2021-03-21,19
2021-03-28,19
2021-04-04,20
2021-04-11,24
2021-04-18,17
2021-04-25,25
2021-05-02,34
2021-05-09,26
2021-05-16,17
2021-05-23,19
2021-05-30,14
2021-06-06,14
2021-06-13,16
2021-06-20,15
2021-06-27,17
2021-07-04,12
2021-07-11,12
2021-07-18,15
2021-07-25,17
2021-08-01,27
2021-08-08,13
2021-08-15,18
2021-08-22,18
2021-08-29,15
2021-09-05,11
2021-09-12,10
2021-09-19,12
2021-09-26,11
2021-10-03,8
2021-10-10,12
2021-10-17,14
2021-10-24,15
2021-10-31,30
2021-11-07,21
2021-11-14,16
2021-11-21,13
2021-11-28,18
2021-12-05,17
2021-12-12,16
2021-12-19,14
2021-12-26,11
2022-01-02,11
2022-01-09,10
2022-01-16,10
2022-01-23,14
2022-01-30,17
2022-02-06,41
2022-02-13,11
2022-02-20,15
2022-02-27,14
2022-03-06,13
2022-03-13,18
2022-03-20,16
2022-03-27,13
2022-04-03,13
2022-04-10,11
2022-04-17,12
2022-04-24,8
2022-05-01,71
2022-05-08,40
2022-05-15,24
2022-05-22,26
2022-05-29,24
2022-06-05,23
2022-06-12,30
2022-06-19,18
2022-06-26,23
2022-07-03,18
2022-07-10,23
2022-07-17,14
2022-07-24,18
2022-07-31,38
2022-08-07,24
2022-08-14,21
2022-08-21,17
2022-08-28,17
2022-09-04,19
2022-09-11,17
2022-09-18,13
2022-09-25,17
2022-10-02,20
2022-10-09,21
2022-10-16,14
2022-10-23,14
2022-10-30,23
2022-11-06,38
2022-11-13,19
2022-11-20,15
2022-11-27,14
2022-12-04,16
2022-12-11,17
2022-12-18,21
2022-12-25,18
2023-01-01,14
2023-01-08,19
2023-01-15,16
2023-01-22,17
2023-01-29,21
2023-02-05,58
2023-02-12,50
2023-02-19,26
2023-02-26,24
2023-03-05,28
2023-03-12,29
2023-03-19,24
2023-03-26,36
2023-04-02,19
2023-04-09,21
2023-04-16,22
2023-04-23,23
2023-04-30,37
2023-05-07,26
2023-05-14,22
2023-05-21,22
2023-05-28,20
2023-06-04,26
2023-06-11,26
2023-06-18,18
2023-06-25,20
2023-07-02,12
2023-07-09,23
2023-07-16,25
2023-07-23,23
2023-07-30,23
2023-08-06,33
2023-08-13,23
2023-08-20,20
2023-08-27,18
2023-09-03,14
2023-09-10,16
2023-09-17,15
2023-09-24,12
2023-10-01,14
2023-10-08,13
2023-10-15,14
2023-10-22,12
2023-10-29,14
2023-11-05,21
2023-11-12,13
2023-11-19,11
2023-11-26,22
2023-12-03,21
2023-12-10,27
2023-12-17,22
2023-12-24,15
2023-12-31,14
2024-01-07,15
2024-01-14,12
2024-01-21,13
2024-01-28,9
2024-02-04,16
2024-02-11,100
2024-02-18,29
2024-02-25,26
2024-03-03,28
2024-03-10,19
2024-03-17,17
2024-03-24,18
2024-03-31,18
2024-04-07,17
2024-04-14,14
2024-04-21,13
2024-04-28,14
2024-05-05,31
2024-05-12,12
2024-05-19,12
2024-05-26,14
2024-06-02,12
2024-06-09,18
2024-06-16,13
2024-06-23,13
2024-06-30,8
2024-07-07,13
2024-07-14,14
2024-07-21,16
2024-07-28,16
2024-08-04,29
2024-08-11,22
2024-08-18,19
2024-08-25,13
2024-09-01,12
2024-09-08,14
2024-09-15,12
2024-09-22,18
2024-09-29,12
2024-10-06,18
2024-10-13,15
2024-10-20,12
2024-10-27,15
2024-11-03,36
2024-11-10,25
2024-11-17,18
2024-11-24,17
2024-12-01,15
2024-12-08,18
2024-12-15,15
2024-12-22,12
2024-12-29,19
2025-01-05,20
2025-01-12,17
2025-01-19,18
2025-01-26,15
2025-02-02,22
2025-02-09,47
2025-02-16,25
2025-02-23,22
2025-03-02,22
2025-03-09,19
2025-03-16,17
2025-03-23,14
2025-03-30,22
2025-04-06,21
2025-04-13,14
2025-04-20,20
2025-04-27,14
2025-05-04,30
2025-05-11,35
2025-05-18,19
2025-05-25,17
2025-06-01,15
2025-06-08,20
2025-06-15,13
2025-06-22,20
2025-06-29,13
2025-07-06,21
2025-07-13,24
2025-07-20,25
2025-07-27,34
