date,investing in ethereum
2020-08-02,14
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,10
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,11
2020-11-15,0
2020-11-22,15
2020-11-29,13
2020-12-06,0
2020-12-13,13
2020-12-20,15
2020-12-27,26
2021-01-03,57
2021-01-10,41
2021-01-17,38
2021-01-24,38
2021-01-31,42
2021-02-07,48
2021-02-14,53
2021-02-21,35
2021-02-28,25
2021-03-07,37
2021-03-14,32
2021-03-21,23
2021-03-28,28
2021-04-04,37
2021-04-11,43
2021-04-18,44
2021-04-25,42
2021-05-02,97
2021-05-09,100
2021-05-16,51
2021-05-23,30
2021-05-30,17
2021-06-06,18
2021-06-13,16
2021-06-20,23
2021-06-27,13
2021-07-04,16
2021-07-11,13
2021-07-18,11
2021-07-25,17
2021-08-01,0
2021-08-08,13
2021-08-15,19
2021-08-22,18
2021-08-29,17
2021-09-05,19
2021-09-12,18
2021-09-19,11
2021-09-26,0
2021-10-03,19
2021-10-10,15
2021-10-17,16
2021-10-24,19
2021-10-31,30
2021-11-07,30
2021-11-14,30
2021-11-21,19
2021-11-28,23
2021-12-05,16
2021-12-12,24
2021-12-19,13
2021-12-26,32
2022-01-02,38
2022-01-09,32
2022-01-16,24
2022-01-23,27
2022-01-30,29
2022-02-06,19
2022-02-13,16
2022-02-20,14
2022-02-27,8
2022-03-06,14
2022-03-13,10
2022-03-20,14
2022-03-27,11
2022-04-03,11
2022-04-10,14
2022-04-17,13
2022-04-24,14
2022-05-01,13
2022-05-08,26
2022-05-15,14
2022-05-22,18
2022-05-29,11
2022-06-05,9
2022-06-12,14
2022-06-19,11
2022-06-26,0
2022-07-03,9
2022-07-10,14
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,9
2022-08-28,10
2022-09-04,16
2022-09-11,11
2022-09-18,0
2022-09-25,14
2022-10-02,8
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,9
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,11
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,11
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,9
2023-06-04,0
2023-06-11,9
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,12
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,12
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,11
2024-02-25,10
2024-03-03,10
2024-03-10,14
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,11
2024-05-05,0
2024-05-12,0
2024-05-19,10
2024-05-26,0
2024-06-02,10
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,11
2024-07-28,10
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,10
2024-11-10,21
2024-11-17,14
2024-11-24,0
2024-12-01,18
2024-12-08,13
2024-12-15,0
2024-12-22,0
2024-12-29,13
2025-01-05,10
2025-01-12,0
2025-01-19,0
2025-01-26,0
2025-02-02,16
2025-02-09,14
2025-02-16,14
2025-02-23,0
2025-03-02,14
2025-03-09,13
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,14
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,11
2025-05-25,11
2025-06-01,0
2025-06-08,14
2025-06-15,11
2025-06-22,13
2025-06-29,11
2025-07-06,13
2025-07-13,29
2025-07-20,29
2025-07-27,24
