date,Zara news
2020-08-02,34
2020-08-09,35
2020-08-16,32
2020-08-23,31
2020-08-30,31
2020-09-06,38
2020-09-13,32
2020-09-20,40
2020-09-27,44
2020-10-04,40
2020-10-11,39
2020-10-18,41
2020-10-25,40
2020-11-01,50
2020-11-08,41
2020-11-15,35
2020-11-22,49
2020-11-29,33
2020-12-06,44
2020-12-13,31
2020-12-20,44
2020-12-27,49
2021-01-03,59
2021-01-10,40
2021-01-17,36
2021-01-24,35
2021-01-31,33
2021-02-07,35
2021-02-14,42
2021-02-21,42
2021-02-28,33
2021-03-07,40
2021-03-14,32
2021-03-21,51
2021-03-28,34
2021-04-04,42
2021-04-11,39
2021-04-18,34
2021-04-25,31
2021-05-02,29
2021-05-09,32
2021-05-16,32
2021-05-23,30
2021-05-30,30
2021-06-06,29
2021-06-13,33
2021-06-20,34
2021-06-27,33
2021-07-04,32
2021-07-11,27
2021-07-18,28
2021-07-25,28
2021-08-01,25
2021-08-08,25
2021-08-15,29
2021-08-22,27
2021-08-29,27
2021-09-05,25
2021-09-12,27
2021-09-19,27
2021-09-26,29
2021-10-03,27
2021-10-10,28
2021-10-17,27
2021-10-24,27
2021-10-31,31
2021-11-07,28
2021-11-14,29
2021-11-21,45
2021-11-28,37
2021-12-05,34
2021-12-12,36
2021-12-19,35
2021-12-26,39
2022-01-02,38
2022-01-09,30
2022-01-16,32
2022-01-23,28
2022-01-30,28
2022-02-06,24
2022-02-13,29
2022-02-20,31
2022-02-27,37
2022-03-06,31
2022-03-13,27
2022-03-20,26
2022-03-27,28
2022-04-03,26
2022-04-10,27
2022-04-17,26
2022-04-24,39
2022-05-01,29
2022-05-08,42
2022-05-15,45
2022-05-22,27
2022-05-29,29
2022-06-05,31
2022-06-12,28
2022-06-19,40
2022-06-26,38
2022-07-03,30
2022-07-10,28
2022-07-17,26
2022-07-24,24
2022-07-31,21
2022-08-07,23
2022-08-14,26
2022-08-21,26
2022-08-28,24
2022-09-04,38
2022-09-11,43
2022-09-18,40
2022-09-25,31
2022-10-02,27
2022-10-09,29
2022-10-16,28
2022-10-23,27
2022-10-30,27
2022-11-06,30
2022-11-13,35
2022-11-20,34
2022-11-27,32
2022-12-04,26
2022-12-11,31
2022-12-18,23
2022-12-25,35
2023-01-01,26
2023-01-08,23
2023-01-15,24
2023-01-22,25
2023-01-29,27
2023-02-05,24
2023-02-12,26
2023-02-19,26
2023-02-26,23
2023-03-05,21
2023-03-12,24
2023-03-19,25
2023-03-26,25
2023-04-02,23
2023-04-09,25
2023-04-16,23
2023-04-23,23
2023-04-30,23
2023-05-07,27
2023-05-14,23
2023-05-21,22
2023-05-28,31
2023-06-04,32
2023-06-11,31
2023-06-18,42
2023-06-25,31
2023-07-02,32
2023-07-09,26
2023-07-16,28
2023-07-23,25
2023-07-30,25
2023-08-06,25
2023-08-13,20
2023-08-20,20
2023-08-27,23
2023-09-03,21
2023-09-10,22
2023-09-17,25
2023-09-24,27
2023-10-01,26
2023-10-08,29
2023-10-15,30
2023-10-22,26
2023-10-29,31
2023-11-05,28
2023-11-12,27
2023-11-19,29
2023-11-26,23
2023-12-03,26
2023-12-10,95
2023-12-17,37
2023-12-24,35
2023-12-31,28
2024-01-07,23
2024-01-14,22
2024-01-21,23
2024-01-28,18
2024-02-04,24
2024-02-11,20
2024-02-18,18
2024-02-25,19
2024-03-03,19
2024-03-10,20
2024-03-17,24
2024-03-24,25
2024-03-31,21
2024-04-07,20
2024-04-14,23
2024-04-21,21
2024-04-28,22
2024-05-05,22
2024-05-12,21
2024-05-19,22
2024-05-26,23
2024-06-02,22
2024-06-09,20
2024-06-16,20
2024-06-23,23
2024-06-30,21
2024-07-07,27
2024-07-14,46
2024-07-21,28
2024-07-28,23
2024-08-04,25
2024-08-11,19
2024-08-18,21
2024-08-25,21
2024-09-01,23
2024-09-08,21
2024-09-15,22
2024-09-22,20
2024-09-29,20
2024-10-06,22
2024-10-13,21
2024-10-20,19
2024-10-27,20
2024-11-03,24
2024-11-10,22
2024-11-17,26
2024-11-24,27
2024-12-01,21
2024-12-08,23
2024-12-15,21
2024-12-22,33
2024-12-29,27
2025-01-05,25
2025-01-12,19
2025-01-19,21
2025-01-26,22
2025-02-02,19
2025-02-09,18
2025-02-16,17
2025-02-23,24
2025-03-02,19
2025-03-09,21
2025-03-16,25
2025-03-23,18
2025-03-30,18
2025-04-06,21
2025-04-13,20
2025-04-20,20
2025-04-27,20
2025-05-04,24
2025-05-11,24
2025-05-18,19
2025-05-25,20
2025-06-01,20
2025-06-08,27
2025-06-15,26
2025-06-22,26
2025-06-29,21
2025-07-06,20
2025-07-13,34
2025-07-20,52
2025-07-27,100
