date,BlackRock news
2020-08-02,10
2020-08-09,8
2020-08-16,9
2020-08-23,10
2020-08-30,9
2020-09-06,11
2020-09-13,14
2020-09-20,15
2020-09-27,11
2020-10-04,12
2020-10-11,11
2020-10-18,9
2020-10-25,10
2020-11-01,7
2020-11-08,13
2020-11-15,10
2020-11-22,7
2020-11-29,12
2020-12-06,9
2020-12-13,9
2020-12-20,8
2020-12-27,8
2021-01-03,12
2021-01-10,14
2021-01-17,10
2021-01-24,16
2021-01-31,19
2021-02-07,14
2021-02-14,13
2021-02-21,13
2021-02-28,8
2021-03-07,9
2021-03-14,8
2021-03-21,14
2021-03-28,10
2021-04-04,10
2021-04-11,12
2021-04-18,14
2021-04-25,11
2021-05-02,7
2021-05-09,10
2021-05-16,9
2021-05-23,9
2021-05-30,10
2021-06-06,12
2021-06-13,14
2021-06-20,13
2021-06-27,11
2021-07-04,12
2021-07-11,16
2021-07-18,9
2021-07-25,11
2021-08-01,15
2021-08-08,11
2021-08-15,11
2021-08-22,13
2021-08-29,11
2021-09-05,14
2021-09-12,17
2021-09-19,16
2021-09-26,16
2021-10-03,20
2021-10-10,15
2021-10-17,15
2021-10-24,14
2021-10-31,14
2021-11-07,12
2021-11-14,11
2021-11-21,14
2021-11-28,15
2021-12-05,12
2021-12-12,14
2021-12-19,17
2021-12-26,11
2022-01-02,13
2022-01-09,16
2022-01-16,18
2022-01-23,17
2022-01-30,18
2022-02-06,14
2022-02-13,16
2022-02-20,16
2022-02-27,14
2022-03-06,17
2022-03-13,14
2022-03-20,17
2022-03-27,14
2022-04-03,14
2022-04-10,20
2022-04-17,14
2022-04-24,13
2022-05-01,13
2022-05-08,16
2022-05-15,14
2022-05-22,12
2022-05-29,12
2022-06-05,9
2022-06-12,15
2022-06-19,15
2022-06-26,12
2022-07-03,13
2022-07-10,11
2022-07-17,19
2022-07-24,16
2022-07-31,20
2022-08-07,21
2022-08-14,16
2022-08-21,12
2022-08-28,14
2022-09-04,16
2022-09-11,15
2022-09-18,16
2022-09-25,18
2022-10-02,15
2022-10-09,11
2022-10-16,15
2022-10-23,12
2022-10-30,9
2022-11-06,16
2022-11-13,15
2022-11-20,11
2022-11-27,17
2022-12-04,15
2022-12-11,12
2022-12-18,9
2022-12-25,9
2023-01-01,13
2023-01-08,17
2023-01-15,12
2023-01-22,12
2023-01-29,13
2023-02-05,11
2023-02-12,11
2023-02-19,14
2023-02-26,11
2023-03-05,14
2023-03-12,17
2023-03-19,12
2023-03-26,11
2023-04-02,21
2023-04-09,13
2023-04-16,10
2023-04-23,53
2023-04-30,19
2023-05-07,12
2023-05-14,13
2023-05-21,9
2023-05-28,11
2023-06-04,14
2023-06-11,18
2023-06-18,34
2023-06-25,24
2023-07-02,18
2023-07-09,18
2023-07-16,20
2023-07-23,21
2023-07-30,19
2023-08-06,21
2023-08-13,19
2023-08-20,14
2023-08-27,22
2023-09-03,13
2023-09-10,14
2023-09-17,14
2023-09-24,17
2023-10-01,16
2023-10-08,16
2023-10-15,23
2023-10-22,29
2023-10-29,17
2023-11-05,20
2023-11-12,23
2023-11-19,14
2023-11-26,16
2023-12-03,18
2023-12-10,17
2023-12-17,17
2023-12-24,17
2023-12-31,20
2024-01-07,38
2024-01-14,18
2024-01-21,17
2024-01-28,14
2024-02-04,12
2024-02-11,15
2024-02-18,14
2024-02-25,16
2024-03-03,18
2024-03-10,16
2024-03-17,22
2024-03-24,40
2024-03-31,14
2024-04-07,17
2024-04-14,19
2024-04-21,24
2024-04-28,16
2024-05-05,11
2024-05-12,15
2024-05-19,13
2024-05-26,14
2024-06-02,10
2024-06-09,13
2024-06-16,9
2024-06-23,12
2024-06-30,17
2024-07-07,13
2024-07-14,51
2024-07-21,26
2024-07-28,13
2024-08-04,17
2024-08-11,16
2024-08-18,14
2024-08-25,13
2024-09-01,13
2024-09-08,13
2024-09-15,27
2024-09-22,26
2024-09-29,28
2024-10-06,26
2024-10-13,17
2024-10-20,15
2024-10-27,17
2024-11-03,16
2024-11-10,19
2024-11-17,21
2024-11-24,18
2024-12-01,38
2024-12-08,20
2024-12-15,17
2024-12-22,15
2024-12-29,15
2025-01-05,18
2025-01-12,25
2025-01-19,19
2025-01-26,18
2025-02-02,20
2025-02-09,19
2025-02-16,17
2025-02-23,15
2025-03-02,42
2025-03-09,22
2025-03-16,19
2025-03-23,18
2025-03-30,24
2025-04-06,25
2025-04-13,14
2025-04-20,12
2025-04-27,15
2025-05-04,14
2025-05-11,16
2025-05-18,11
2025-05-25,22
2025-06-01,26
2025-06-08,26
2025-06-15,21
2025-06-22,22
2025-06-29,28
2025-07-06,27
2025-07-13,41
2025-07-20,46
2025-07-27,100
