date,sustainable finance
2020-08-02,29
2020-08-09,31
2020-08-16,32
2020-08-23,33
2020-08-30,39
2020-09-06,40
2020-09-13,45
2020-09-20,45
2020-09-27,47
2020-10-04,46
2020-10-11,40
2020-10-18,36
2020-10-25,37
2020-11-01,34
2020-11-08,40
2020-11-15,40
2020-11-22,43
2020-11-29,40
2020-12-06,40
2020-12-13,35
2020-12-20,20
2020-12-27,22
2021-01-03,35
2021-01-10,41
2021-01-17,44
2021-01-24,44
2021-01-31,49
2021-02-07,44
2021-02-14,42
2021-02-21,54
2021-02-28,47
2021-03-07,48
2021-03-14,47
2021-03-21,47
2021-03-28,41
2021-04-04,40
2021-04-11,44
2021-04-18,53
2021-04-25,48
2021-05-02,52
2021-05-09,48
2021-05-16,46
2021-05-23,44
2021-05-30,48
2021-06-06,50
2021-06-13,42
2021-06-20,42
2021-06-27,43
2021-07-04,50
2021-07-11,49
2021-07-18,47
2021-07-25,39
2021-08-01,39
2021-08-08,38
2021-08-15,37
2021-08-22,36
2021-08-29,41
2021-09-05,54
2021-09-12,54
2021-09-19,55
2021-09-26,57
2021-10-03,50
2021-10-10,50
2021-10-17,51
2021-10-24,54
2021-10-31,52
2021-11-07,58
2021-11-14,57
2021-11-21,49
2021-11-28,58
2021-12-05,55
2021-12-12,43
2021-12-19,35
2021-12-26,26
2022-01-02,53
2022-01-09,60
2022-01-16,58
2022-01-23,64
2022-01-30,60
2022-02-06,61
2022-02-13,61
2022-02-20,57
2022-02-27,59
2022-03-06,57
2022-03-13,62
2022-03-20,58
2022-03-27,68
2022-04-03,64
2022-04-10,53
2022-04-17,60
2022-04-24,62
2022-05-01,57
2022-05-08,57
2022-05-15,61
2022-05-22,53
2022-05-29,54
2022-06-05,53
2022-06-12,52
2022-06-19,59
2022-06-26,48
2022-07-03,48
2022-07-10,56
2022-07-17,49
2022-07-24,46
2022-07-31,51
2022-08-07,48
2022-08-14,55
2022-08-21,52
2022-08-28,56
2022-09-04,53
2022-09-11,57
2022-09-18,64
2022-09-25,58
2022-10-02,59
2022-10-09,60
2022-10-16,61
2022-10-23,56
2022-10-30,59
2022-11-06,65
2022-11-13,61
2022-11-20,53
2022-11-27,57
2022-12-04,53
2022-12-11,56
2022-12-18,46
2022-12-25,35
2023-01-01,47
2023-01-08,53
2023-01-15,60
2023-01-22,62
2023-01-29,57
2023-02-05,56
2023-02-12,61
2023-02-19,62
2023-02-26,61
2023-03-05,58
2023-03-12,57
2023-03-19,58
2023-03-26,64
2023-04-02,55
2023-04-09,56
2023-04-16,63
2023-04-23,55
2023-04-30,57
2023-05-07,57
2023-05-14,57
2023-05-21,59
2023-05-28,51
2023-06-04,55
2023-06-11,58
2023-06-18,57
2023-06-25,57
2023-07-02,55
2023-07-09,62
2023-07-16,58
2023-07-23,59
2023-07-30,58
2023-08-06,59
2023-08-13,54
2023-08-20,53
2023-08-27,57
2023-09-03,61
2023-09-10,63
2023-09-17,69
2023-09-24,65
2023-10-01,67
2023-10-08,68
2023-10-15,63
2023-10-22,60
2023-10-29,64
2023-11-05,60
2023-11-12,60
2023-11-19,57
2023-11-26,67
2023-12-03,69
2023-12-10,61
2023-12-17,49
2023-12-24,33
2023-12-31,45
2024-01-07,59
2024-01-14,62
2024-01-21,67
2024-01-28,69
2024-02-04,71
2024-02-11,66
2024-02-18,69
2024-02-25,74
2024-03-03,72
2024-03-10,66
2024-03-17,64
2024-03-24,64
2024-03-31,66
2024-04-07,63
2024-04-14,66
2024-04-21,72
2024-04-28,64
2024-05-05,60
2024-05-12,66
2024-05-19,66
2024-05-26,67
2024-06-02,64
2024-06-09,64
2024-06-16,63
2024-06-23,65
2024-06-30,60
2024-07-07,65
2024-07-14,72
2024-07-21,67
2024-07-28,55
2024-08-04,56
2024-08-11,56
2024-08-18,65
2024-08-25,69
2024-09-01,71
2024-09-08,73
2024-09-15,72
2024-09-22,78
2024-09-29,71
2024-10-06,72
2024-10-13,74
2024-10-20,79
2024-10-27,73
2024-11-03,68
2024-11-10,73
2024-11-17,73
2024-11-24,72
2024-12-01,67
2024-12-08,67
2024-12-15,60
2024-12-22,40
2024-12-29,48
2025-01-05,70
2025-01-12,70
2025-01-19,75
2025-01-26,68
2025-02-02,74
2025-02-09,73
2025-02-16,73
2025-02-23,74
2025-03-02,70
2025-03-09,71
2025-03-16,69
2025-03-23,72
2025-03-30,63
2025-04-06,65
2025-04-13,65
2025-04-20,66
2025-04-27,100
2025-05-04,68
2025-05-11,65
2025-05-18,62
2025-05-25,61
2025-06-01,78
2025-06-08,90
2025-06-15,90
2025-06-22,90
2025-06-29,79
2025-07-06,86
2025-07-13,91
2025-07-20,95
2025-07-27,99
