date,BlackRock
2020-08-02,20
2020-08-09,18
2020-08-16,18
2020-08-23,18
2020-08-30,19
2020-09-06,18
2020-09-13,20
2020-09-20,19
2020-09-27,17
2020-10-04,18
2020-10-11,20
2020-10-18,16
2020-10-25,15
2020-11-01,14
2020-11-08,17
2020-11-15,18
2020-11-22,16
2020-11-29,19
2020-12-06,18
2020-12-13,16
2020-12-20,14
2020-12-27,15
2021-01-03,18
2021-01-10,20
2021-01-17,21
2021-01-24,23
2021-01-31,24
2021-02-07,21
2021-02-14,20
2021-02-21,19
2021-02-28,17
2021-03-07,18
2021-03-14,17
2021-03-21,18
2021-03-28,16
2021-04-04,18
2021-04-11,20
2021-04-18,25
2021-04-25,24
2021-05-02,21
2021-05-09,20
2021-05-16,16
2021-05-23,18
2021-05-30,16
2021-06-06,22
2021-06-13,22
2021-06-20,21
2021-06-27,19
2021-07-04,17
2021-07-11,21
2021-07-18,19
2021-07-25,20
2021-08-01,20
2021-08-08,19
2021-08-15,18
2021-08-22,19
2021-08-29,17
2021-09-05,19
2021-09-12,19
2021-09-19,20
2021-09-26,19
2021-10-03,19
2021-10-10,22
2021-10-17,20
2021-10-24,20
2021-10-31,20
2021-11-07,22
2021-11-14,19
2021-11-21,17
2021-11-28,18
2021-12-05,19
2021-12-12,18
2021-12-19,16
2021-12-26,15
2022-01-02,19
2022-01-09,22
2022-01-16,23
2022-01-23,22
2022-01-30,22
2022-02-06,23
2022-02-13,24
2022-02-20,21
2022-02-27,21
2022-03-06,27
2022-03-13,25
2022-03-20,26
2022-03-27,26
2022-04-03,24
2022-04-10,26
2022-04-17,24
2022-04-24,25
2022-05-01,23
2022-05-08,28
2022-05-15,20
2022-05-22,20
2022-05-29,23
2022-06-05,22
2022-06-12,31
2022-06-19,29
2022-06-26,23
2022-07-03,21
2022-07-10,25
2022-07-17,26
2022-07-24,24
2022-07-31,29
2022-08-07,33
2022-08-14,29
2022-08-21,25
2022-08-28,24
2022-09-04,23
2022-09-11,24
2022-09-18,24
2022-09-25,25
2022-10-02,23
2022-10-09,24
2022-10-16,23
2022-10-23,25
2022-10-30,25
2022-11-06,27
2022-11-13,29
2022-11-20,20
2022-11-27,26
2022-12-04,26
2022-12-11,21
2022-12-18,19
2022-12-25,24
2023-01-01,29
2023-01-08,30
2023-01-15,25
2023-01-22,25
2023-01-29,25
2023-02-05,26
2023-02-12,25
2023-02-19,25
2023-02-26,24
2023-03-05,24
2023-03-12,26
2023-03-19,26
2023-03-26,23
2023-04-02,38
2023-04-09,27
2023-04-16,23
2023-04-23,26
2023-04-30,23
2023-05-07,22
2023-05-14,22
2023-05-21,23
2023-05-28,24
2023-06-04,26
2023-06-11,31
2023-06-18,37
2023-06-25,33
2023-07-02,37
2023-07-09,34
2023-07-16,34
2023-07-23,32
2023-07-30,32
2023-08-06,34
2023-08-13,38
2023-08-20,33
2023-08-27,32
2023-09-03,31
2023-09-10,29
2023-09-17,28
2023-09-24,31
2023-10-01,27
2023-10-08,29
2023-10-15,31
2023-10-22,39
2023-10-29,29
2023-11-05,31
2023-11-12,31
2023-11-19,26
2023-11-26,28
2023-12-03,33
2023-12-10,31
2023-12-17,29
2023-12-24,27
2023-12-31,29
2024-01-07,49
2024-01-14,37
2024-01-21,35
2024-01-28,33
2024-02-04,30
2024-02-11,33
2024-02-18,32
2024-02-25,35
2024-03-03,40
2024-03-10,34
2024-03-17,36
2024-03-24,50
2024-03-31,31
2024-04-07,32
2024-04-14,34
2024-04-21,31
2024-04-28,29
2024-05-05,27
2024-05-12,29
2024-05-19,28
2024-05-26,27
2024-06-02,29
2024-06-09,27
2024-06-16,26
2024-06-23,30
2024-06-30,28
2024-07-07,30
2024-07-14,100
2024-07-21,53
2024-07-28,35
2024-08-04,33
2024-08-11,30
2024-08-18,30
2024-08-25,30
2024-09-01,31
2024-09-08,30
2024-09-15,50
2024-09-22,38
2024-09-29,39
2024-10-06,41
2024-10-13,34
2024-10-20,34
2024-10-27,30
2024-11-03,33
2024-11-10,38
2024-11-17,38
2024-11-24,32
2024-12-01,40
2024-12-08,34
2024-12-15,33
2024-12-22,28
2024-12-29,31
2025-01-05,35
2025-01-12,39
2025-01-19,37
2025-01-26,34
2025-02-02,34
2025-02-09,32
2025-02-16,31
2025-02-23,35
2025-03-02,56
2025-03-09,37
2025-03-16,34
2025-03-23,32
2025-03-30,36
2025-04-06,36
2025-04-13,27
2025-04-20,25
2025-04-27,27
2025-05-04,27
2025-05-11,29
2025-05-18,27
2025-05-25,31
2025-06-01,33
2025-06-08,36
2025-06-15,36
2025-06-22,32
2025-06-29,39
2025-07-06,38
2025-07-13,40
2025-07-20,38
2025-07-27,54
