date,Harry Styles
2020-08-02,45
2020-08-09,41
2020-08-16,42
2020-08-23,43
2020-08-30,39
2020-09-06,40
2020-09-13,40
2020-09-20,40
2020-09-27,33
2020-10-04,33
2020-10-11,34
2020-10-18,38
2020-10-25,58
2020-11-01,39
2020-11-08,49
2020-11-15,62
2020-11-22,54
2020-11-29,53
2020-12-06,46
2020-12-13,46
2020-12-20,45
2020-12-27,58
2021-01-03,80
2021-01-10,46
2021-01-17,40
2021-01-24,40
2021-01-31,58
2021-02-07,34
2021-02-14,39
2021-02-21,32
2021-02-28,32
2021-03-07,33
2021-03-14,85
2021-03-21,37
2021-03-28,37
2021-04-04,34
2021-04-11,32
2021-04-18,34
2021-04-25,30
2021-05-02,30
2021-05-09,37
2021-05-16,28
2021-05-23,26
2021-05-30,27
2021-06-06,24
2021-06-13,25
2021-06-20,24
2021-06-27,24
2021-07-04,31
2021-07-11,30
2021-07-18,28
2021-07-25,22
2021-08-01,20
2021-08-08,21
2021-08-15,19
2021-08-22,20
2021-08-29,21
2021-09-05,37
2021-09-12,32
2021-09-19,29
2021-09-26,25
2021-10-03,28
2021-10-10,28
2021-10-17,39
2021-10-24,31
2021-10-31,56
2021-11-07,44
2021-11-14,53
2021-11-21,37
2021-11-28,33
2021-12-05,28
2021-12-12,24
2021-12-19,23
2021-12-26,25
2022-01-02,22
2022-01-09,28
2022-01-16,54
2022-01-23,50
2022-01-30,43
2022-02-06,21
2022-02-13,20
2022-02-20,27
2022-02-27,18
2022-03-06,17
2022-03-13,18
2022-03-20,25
2022-03-27,53
2022-04-03,40
2022-04-10,43
2022-04-17,65
2022-04-24,56
2022-05-01,55
2022-05-08,38
2022-05-15,74
2022-05-22,73
2022-05-29,51
2022-06-05,46
2022-06-12,55
2022-06-19,57
2022-06-26,48
2022-07-03,52
2022-07-10,42
2022-07-17,43
2022-07-24,39
2022-07-31,41
2022-08-07,35
2022-08-14,42
2022-08-21,66
2022-08-28,86
2022-09-04,100
2022-09-11,46
2022-09-18,47
2022-09-25,47
2022-10-02,38
2022-10-09,35
2022-10-16,36
2022-10-23,36
2022-10-30,41
2022-11-06,44
2022-11-13,49
2022-11-20,46
2022-11-27,42
2022-12-04,37
2022-12-11,31
2022-12-18,26
2022-12-25,30
2023-01-01,28
2023-01-08,27
2023-01-15,27
2023-01-22,27
2023-01-29,42
2023-02-05,97
2023-02-12,44
2023-02-19,38
2023-02-26,39
2023-03-05,32
2023-03-12,29
2023-03-19,30
2023-03-26,42
2023-04-02,23
2023-04-09,24
2023-04-16,19
2023-04-23,21
2023-04-30,25
2023-05-07,23
2023-05-14,30
2023-05-21,30
2023-05-28,31
2023-06-04,34
2023-06-11,39
2023-06-18,33
2023-06-25,34
2023-07-02,35
2023-07-09,41
2023-07-16,39
2023-07-23,33
2023-07-30,25
2023-08-06,22
2023-08-13,22
2023-08-20,16
2023-08-27,17
2023-09-03,17
2023-09-10,16
2023-09-17,14
2023-09-24,15
2023-10-01,14
2023-10-08,14
2023-10-15,12
2023-10-22,17
2023-10-29,16
2023-11-05,34
2023-11-12,28
2023-11-19,18
2023-11-26,14
2023-12-03,13
2023-12-10,12
2023-12-17,13
2023-12-24,16
2023-12-31,15
2024-01-07,12
2024-01-14,12
2024-01-21,12
2024-01-28,19
2024-02-04,13
2024-02-11,13
2024-02-18,17
2024-02-25,12
2024-03-03,12
2024-03-10,11
2024-03-17,11
2024-03-24,11
2024-03-31,11
2024-04-07,10
2024-04-14,11
2024-04-21,11
2024-04-28,12
2024-05-05,18
2024-05-12,13
2024-05-19,13
2024-05-26,12
2024-06-02,11
2024-06-09,10
2024-06-16,10
2024-06-23,10
2024-06-30,9
2024-07-07,11
2024-07-14,11
2024-07-21,10
2024-07-28,8
2024-08-04,8
2024-08-11,9
2024-08-18,9
2024-08-25,9
2024-09-01,8
2024-09-08,8
2024-09-15,8
2024-09-22,8
2024-09-29,8
2024-10-06,8
2024-10-13,40
2024-10-20,27
2024-10-27,15
2024-11-03,11
2024-11-10,11
2024-11-17,13
2024-11-24,12
2024-12-01,11
2024-12-08,11
2024-12-15,10
2024-12-22,10
2024-12-29,10
2025-01-05,10
2025-01-12,9
2025-01-19,9
2025-01-26,12
2025-02-02,11
2025-02-09,8
2025-02-16,8
2025-02-23,8
2025-03-02,11
2025-03-09,9
2025-03-16,8
2025-03-23,8
2025-03-30,9
2025-04-06,9
2025-04-13,8
2025-04-20,8
2025-04-27,8
2025-05-04,10
2025-05-11,8
2025-05-18,7
2025-05-25,7
2025-06-01,8
2025-06-08,7
2025-06-15,7
2025-06-22,8
2025-06-29,9
2025-07-06,8
2025-07-13,8
2025-07-20,14
2025-07-27,11
