date,ASML stock price
2020-08-02,7
2020-08-09,6
2020-08-16,6
2020-08-23,5
2020-08-30,5
2020-09-06,5
2020-09-13,5
2020-09-20,6
2020-09-27,4
2020-10-04,4
2020-10-11,5
2020-10-18,5
2020-10-25,5
2020-11-01,2
2020-11-08,4
2020-11-15,6
2020-11-22,4
2020-11-29,4
2020-12-06,5
2020-12-13,4
2020-12-20,5
2020-12-27,4
2021-01-03,4
2021-01-10,6
2021-01-17,8
2021-01-24,8
2021-01-31,7
2021-02-07,8
2021-02-14,6
2021-02-21,8
2021-02-28,7
2021-03-07,8
2021-03-14,6
2021-03-21,9
2021-03-28,9
2021-04-04,9
2021-04-11,8
2021-04-18,11
2021-04-25,9
2021-05-02,11
2021-05-09,9
2021-05-16,7
2021-05-23,9
2021-05-30,7
2021-06-06,6
2021-06-13,8
2021-06-20,10
2021-06-27,7
2021-07-04,8
2021-07-11,6
2021-07-18,11
2021-07-25,8
2021-08-01,10
2021-08-08,8
2021-08-15,9
2021-08-22,9
2021-08-29,11
2021-09-05,9
2021-09-12,10
2021-09-19,12
2021-09-26,16
2021-10-03,13
2021-10-10,16
2021-10-17,17
2021-10-24,12
2021-10-31,13
2021-11-07,13
2021-11-14,11
2021-11-21,11
2021-11-28,13
2021-12-05,15
2021-12-12,12
2021-12-19,9
2021-12-26,8
2022-01-02,14
2022-01-09,15
2022-01-16,13
2022-01-23,13
2022-01-30,13
2022-02-06,12
2022-02-13,12
2022-02-20,10
2022-02-27,9
2022-03-06,9
2022-03-13,10
2022-03-20,11
2022-03-27,11
2022-04-03,8
2022-04-10,8
2022-04-17,11
2022-04-24,9
2022-05-01,7
2022-05-08,11
2022-05-15,9
2022-05-22,8
2022-05-29,7
2022-06-05,6
2022-06-12,8
2022-06-19,8
2022-06-26,7
2022-07-03,9
2022-07-10,7
2022-07-17,12
2022-07-24,10
2022-07-31,9
2022-08-07,9
2022-08-14,8
2022-08-21,6
2022-08-28,7
2022-09-04,6
2022-09-11,8
2022-09-18,8
2022-09-25,7
2022-10-02,7
2022-10-09,9
2022-10-16,11
2022-10-23,9
2022-10-30,8
2022-11-06,10
2022-11-13,11
2022-11-20,8
2022-11-27,8
2022-12-04,8
2022-12-11,9
2022-12-18,8
2022-12-25,6
2023-01-01,8
2023-01-08,10
2023-01-15,11
2023-01-22,13
2023-01-29,13
2023-02-05,10
2023-02-12,10
2023-02-19,8
2023-02-26,10
2023-03-05,10
2023-03-12,9
2023-03-19,9
2023-03-26,9
2023-04-02,7
2023-04-09,9
2023-04-16,12
2023-04-23,9
2023-04-30,7
2023-05-07,7
2023-05-14,9
2023-05-21,10
2023-05-28,11
2023-06-04,11
2023-06-11,12
2023-06-18,8
2023-06-25,10
2023-07-02,10
2023-07-09,11
2023-07-16,19
2023-07-23,15
2023-07-30,9
2023-08-06,11
2023-08-13,9
2023-08-20,12
2023-08-27,10
2023-09-03,11
2023-09-10,11
2023-09-17,11
2023-09-24,12
2023-10-01,7
2023-10-08,8
2023-10-15,11
2023-10-22,8
2023-10-29,9
2023-11-05,10
2023-11-12,10
2023-11-19,7
2023-11-26,10
2023-12-03,10
2023-12-10,13
2023-12-17,13
2023-12-24,9
2023-12-31,11
2024-01-07,11
2024-01-14,12
2024-01-21,25
2024-01-28,18
2024-02-04,19
2024-02-11,23
2024-02-18,23
2024-02-25,20
2024-03-03,28
2024-03-10,21
2024-03-17,22
2024-03-24,14
2024-03-31,16
2024-04-07,17
2024-04-14,29
2024-04-21,19
2024-04-28,14
2024-05-05,14
2024-05-12,13
2024-05-19,17
2024-05-26,16
2024-06-02,18
2024-06-09,22
2024-06-16,22
2024-06-23,18
2024-06-30,17
2024-07-07,20
2024-07-14,42
2024-07-21,27
2024-07-28,28
2024-08-04,31
2024-08-11,22
2024-08-18,20
2024-08-25,20
2024-09-01,21
2024-09-08,26
2024-09-15,23
2024-09-22,21
2024-09-29,21
2024-10-06,21
2024-10-13,100
2024-10-20,42
2024-10-27,35
2024-11-03,35
2024-11-10,40
2024-11-17,37
2024-11-24,34
2024-12-01,41
2024-12-08,31
2024-12-15,35
2024-12-22,27
2024-12-29,35
2025-01-05,41
2025-01-12,38
2025-01-19,34
2025-01-26,91
2025-02-02,40
2025-02-09,37
2025-02-16,29
2025-02-23,34
2025-03-02,32
2025-03-09,34
2025-03-16,30
2025-03-23,28
2025-03-30,36
2025-04-06,44
2025-04-13,39
2025-04-20,29
2025-04-27,29
2025-05-04,26
2025-05-11,35
2025-05-18,27
2025-05-25,27
2025-06-01,26
2025-06-08,36
2025-06-15,27
2025-06-22,32
2025-06-29,21
2025-07-06,29
2025-07-13,68
2025-07-20,56
2025-07-27,58
