date,AWS
2020-08-02,68
2020-08-09,62
2020-08-16,68
2020-08-23,69
2020-08-30,66
2020-09-06,66
2020-09-13,66
2020-09-20,62
2020-09-27,58
2020-10-04,57
2020-10-11,48
2020-10-18,51
2020-10-25,49
2020-11-01,43
2020-11-08,46
2020-11-15,49
2020-11-22,49
2020-11-29,52
2020-12-06,51
2020-12-13,50
2020-12-20,37
2020-12-27,31
2021-01-03,47
2021-01-10,48
2021-01-17,51
2021-01-24,50
2021-01-31,54
2021-02-07,52
2021-02-14,52
2021-02-21,53
2021-02-28,51
2021-03-07,50
2021-03-14,50
2021-03-21,51
2021-03-28,47
2021-04-04,51
2021-04-11,50
2021-04-18,53
2021-04-25,51
2021-05-02,50
2021-05-09,52
2021-05-16,52
2021-05-23,53
2021-05-30,51
2021-06-06,59
2021-06-13,55
2021-06-20,54
2021-06-27,52
2021-07-04,52
2021-07-11,55
2021-07-18,53
2021-07-25,51
2021-08-01,50
2021-08-08,50
2021-08-15,50
2021-08-22,50
2021-08-29,55
2021-09-05,52
2021-09-12,56
2021-09-19,52
2021-09-26,55
2021-10-03,56
2021-10-10,52
2021-10-17,56
2021-10-24,54
2021-10-31,52
2021-11-07,57
2021-11-14,59
2021-11-21,50
2021-11-28,61
2021-12-05,82
2021-12-12,67
2021-12-19,55
2021-12-26,39
2022-01-02,62
2022-01-09,67
2022-01-16,70
2022-01-23,72
2022-01-30,74
2022-02-06,77
2022-02-13,81
2022-02-20,78
2022-02-27,72
2022-03-06,73
2022-03-13,75
2022-03-20,77
2022-03-27,83
2022-04-03,88
2022-04-10,79
2022-04-17,84
2022-04-24,88
2022-05-01,80
2022-05-08,85
2022-05-15,80
2022-05-22,85
2022-05-29,78
2022-06-05,82
2022-06-12,86
2022-06-19,90
2022-06-26,86
2022-07-03,82
2022-07-10,88
2022-07-17,86
2022-07-24,86
2022-07-31,86
2022-08-07,85
2022-08-14,85
2022-08-21,87
2022-08-28,84
2022-09-04,83
2022-09-11,85
2022-09-18,87
2022-09-25,87
2022-10-02,83
2022-10-09,85
2022-10-16,87
2022-10-23,72
2022-10-30,81
2022-11-06,85
2022-11-13,94
2022-11-20,77
2022-11-27,85
2022-12-04,84
2022-12-11,82
2022-12-18,72
2022-12-25,54
2023-01-01,69
2023-01-08,81
2023-01-15,85
2023-01-22,84
2023-01-29,91
2023-02-05,90
2023-02-12,89
2023-02-19,86
2023-02-26,91
2023-03-05,84
2023-03-12,88
2023-03-19,87
2023-03-26,92
2023-04-02,81
2023-04-09,83
2023-04-16,84
2023-04-23,86
2023-04-30,75
2023-05-07,80
2023-05-14,82
2023-05-21,80
2023-05-28,79
2023-06-04,81
2023-06-11,95
2023-06-18,86
2023-06-25,85
2023-07-02,83
2023-07-09,96
2023-07-16,85
2023-07-23,88
2023-07-30,88
2023-08-06,85
2023-08-13,78
2023-08-20,86
2023-08-27,84
2023-09-03,85
2023-09-10,86
2023-09-17,83
2023-09-24,85
2023-10-01,82
2023-10-08,85
2023-10-15,86
2023-10-22,88
2023-10-29,81
2023-11-05,84
2023-11-12,79
2023-11-19,77
2023-11-26,87
2023-12-03,85
2023-12-10,80
2023-12-17,77
2023-12-24,51
2023-12-31,67
2024-01-07,80
2024-01-14,81
2024-01-21,89
2024-01-28,97
2024-02-04,94
2024-02-11,95
2024-02-18,98
2024-02-25,97
2024-03-03,96
2024-03-10,97
2024-03-17,97
2024-03-24,88
2024-03-31,90
2024-04-07,90
2024-04-14,93
2024-04-21,93
2024-04-28,82
2024-05-05,91
2024-05-12,100
2024-05-19,92
2024-05-26,89
2024-06-02,94
2024-06-09,94
2024-06-16,93
2024-06-23,89
2024-06-30,86
2024-07-07,92
2024-07-14,93
2024-07-21,93
2024-07-28,95
2024-08-04,87
2024-08-11,82
2024-08-18,90
2024-08-25,88
2024-09-01,89
2024-09-08,92
2024-09-15,85
2024-09-22,89
2024-09-29,85
2024-10-06,88
2024-10-13,85
2024-10-20,92
2024-10-27,81
2024-11-03,86
2024-11-10,89
2024-11-17,90
2024-11-24,84
2024-12-01,96
2024-12-08,89
2024-12-15,78
2024-12-22,62
2024-12-29,56
2025-01-05,85
2025-01-12,86
2025-01-19,91
2025-01-26,92
2025-02-02,94
2025-02-09,91
2025-02-16,95
2025-02-23,87
2025-03-02,94
2025-03-09,84
2025-03-16,89
2025-03-23,87
2025-03-30,88
2025-04-06,86
2025-04-13,81
2025-04-20,83
2025-04-27,78
2025-05-04,81
2025-05-11,86
2025-05-18,89
2025-05-25,83
2025-06-01,95
2025-06-08,98
2025-06-15,100
2025-06-22,97
2025-06-29,84
2025-07-06,88
2025-07-13,100
2025-07-20,99
2025-07-27,99
