date,Mary Barra
2020-08-02,19
2020-08-09,14
2020-08-16,10
2020-08-23,11
2020-08-30,12
2020-09-06,17
2020-09-13,20
2020-09-20,17
2020-09-27,10
2020-10-04,12
2020-10-11,9
2020-10-18,14
2020-10-25,12
2020-11-01,11
2020-11-08,10
2020-11-15,15
2020-11-22,19
2020-11-29,14
2020-12-06,15
2020-12-13,12
2020-12-20,9
2020-12-27,7
2021-01-03,11
2021-01-10,17
2021-01-17,13
2021-01-24,23
2021-01-31,17
2021-02-07,14
2021-02-14,10
2021-02-21,11
2021-02-28,9
2021-03-07,14
2021-03-14,12
2021-03-21,12
2021-03-28,30
2021-04-04,16
2021-04-11,13
2021-04-18,10
2021-04-25,17
2021-05-02,21
2021-05-09,8
2021-05-16,11
2021-05-23,10
2021-05-30,7
2021-06-06,11
2021-06-13,15
2021-06-20,14
2021-06-27,14
2021-07-04,13
2021-07-11,15
2021-07-18,15
2021-07-25,11
2021-08-01,17
2021-08-08,17
2021-08-15,14
2021-08-22,14
2021-08-29,15
2021-09-05,14
2021-09-12,20
2021-09-19,14
2021-09-26,19
2021-10-03,20
2021-10-10,14
2021-10-17,17
2021-10-24,28
2021-10-31,28
2021-11-07,21
2021-11-14,21
2021-11-21,12
2021-11-28,20
2021-12-05,21
2021-12-12,21
2021-12-19,15
2021-12-26,13
2022-01-02,27
2022-01-09,15
2022-01-16,12
2022-01-23,33
2022-01-30,30
2022-02-06,13
2022-02-13,15
2022-02-20,12
2022-02-27,17
2022-03-06,14
2022-03-13,11
2022-03-20,13
2022-03-27,14
2022-04-03,21
2022-04-10,20
2022-04-17,14
2022-04-24,17
2022-05-01,17
2022-05-08,18
2022-05-15,15
2022-05-22,9
2022-05-29,17
2022-06-05,18
2022-06-12,12
2022-06-19,13
2022-06-26,16
2022-07-03,16
2022-07-10,19
2022-07-17,18
2022-07-24,20
2022-07-31,11
2022-08-07,8
2022-08-14,14
2022-08-21,11
2022-08-28,11
2022-09-04,16
2022-09-11,15
2022-09-18,14
2022-09-25,16
2022-10-02,12
2022-10-09,12
2022-10-16,16
2022-10-23,18
2022-10-30,14
2022-11-06,10
2022-11-13,14
2022-11-20,13
2022-11-27,12
2022-12-04,23
2022-12-11,14
2022-12-18,11
2022-12-25,8
2023-01-01,12
2023-01-08,10
2023-01-15,12
2023-01-22,13
2023-01-29,20
2023-02-05,13
2023-02-12,16
2023-02-19,16
2023-02-26,17
2023-03-05,22
2023-03-12,18
2023-03-19,15
2023-03-26,52
2023-04-02,17
2023-04-09,14
2023-04-16,12
2023-04-23,15
2023-04-30,14
2023-05-07,11
2023-05-14,12
2023-05-21,11
2023-05-28,9
2023-06-04,26
2023-06-11,15
2023-06-18,9
2023-06-25,15
2023-07-02,19
2023-07-09,11
2023-07-16,10
2023-07-23,15
2023-07-30,15
2023-08-06,21
2023-08-13,13
2023-08-20,12
2023-08-27,12
2023-09-03,16
2023-09-10,100
2023-09-17,72
2023-09-24,41
2023-10-01,32
2023-10-08,17
2023-10-15,18
2023-10-22,26
2023-10-29,22
2023-11-05,16
2023-11-12,11
2023-11-19,16
2023-11-26,23
2023-12-03,23
2023-12-10,18
2023-12-17,24
2023-12-24,13
2023-12-31,11
2024-01-07,11
2024-01-14,12
2024-01-21,13
2024-01-28,16
2024-02-04,18
2024-02-11,19
2024-02-18,13
2024-02-25,18
2024-03-03,18
2024-03-10,16
2024-03-17,14
2024-03-24,20
2024-03-31,15
2024-04-07,11
2024-04-14,19
2024-04-21,18
2024-04-28,15
2024-05-05,14
2024-05-12,14
2024-05-19,22
2024-05-26,12
2024-06-02,19
2024-06-09,14
2024-06-16,10
2024-06-23,14
2024-06-30,9
2024-07-07,12
2024-07-14,13
2024-07-21,14
2024-07-28,11
2024-08-04,14
2024-08-11,11
2024-08-18,15
2024-08-25,13
2024-09-01,13
2024-09-08,13
2024-09-15,12
2024-09-22,28
2024-09-29,15
2024-10-06,19
2024-10-13,20
2024-10-20,15
2024-10-27,16
2024-11-03,13
2024-11-10,21
2024-11-17,16
2024-11-24,14
2024-12-01,17
2024-12-08,26
2024-12-15,12
2024-12-22,12
2024-12-29,11
2025-01-05,14
2025-01-12,12
2025-01-19,11
2025-01-26,19
2025-02-02,18
2025-02-09,17
2025-02-16,11
2025-02-23,9
2025-03-02,18
2025-03-09,17
2025-03-16,13
2025-03-23,16
2025-03-30,13
2025-04-06,13
2025-04-13,15
2025-04-20,14
2025-04-27,38
2025-05-04,15
2025-05-11,12
2025-05-18,14
2025-05-25,15
2025-06-01,13
2025-06-08,14
2025-06-15,11
2025-06-22,15
2025-06-29,12
2025-07-06,11
2025-07-13,16
2025-07-20,20
2025-07-27,21
