date,gig economy
2020-08-02,47
2020-08-09,64
2020-08-16,54
2020-08-23,43
2020-08-30,42
2020-09-06,49
2020-09-13,49
2020-09-20,49
2020-09-27,44
2020-10-04,42
2020-10-11,42
2020-10-18,43
2020-10-25,42
2020-11-01,44
2020-11-08,44
2020-11-15,40
2020-11-22,39
2020-11-29,43
2020-12-06,43
2020-12-13,40
2020-12-20,26
2020-12-27,34
2021-01-03,39
2021-01-10,39
2021-01-17,39
2021-01-24,42
2021-01-31,46
2021-02-07,50
2021-02-14,100
2021-02-21,53
2021-02-28,48
2021-03-07,47
2021-03-14,72
2021-03-21,52
2021-03-28,50
2021-04-04,40
2021-04-11,51
2021-04-18,43
2021-04-25,49
2021-05-02,45
2021-05-09,41
2021-05-16,36
2021-05-23,40
2021-05-30,39
2021-06-06,38
2021-06-13,35
2021-06-20,32
2021-06-27,31
2021-07-04,29
2021-07-11,29
2021-07-18,27
2021-07-25,29
2021-08-01,28
2021-08-08,28
2021-08-15,27
2021-08-22,37
2021-08-29,34
2021-09-05,32
2021-09-12,38
2021-09-19,41
2021-09-26,39
2021-10-03,40
2021-10-10,36
2021-10-17,37
2021-10-24,37
2021-10-31,39
2021-11-07,37
2021-11-14,44
2021-11-21,32
2021-11-28,37
2021-12-05,41
2021-12-12,37
2021-12-19,25
2021-12-26,26
2022-01-02,57
2022-01-09,58
2022-01-16,38
2022-01-23,42
2022-01-30,44
2022-02-06,43
2022-02-13,44
2022-02-20,39
2022-02-27,42
2022-03-06,44
2022-03-13,44
2022-03-20,45
2022-03-27,44
2022-04-03,47
2022-04-10,40
2022-04-17,44
2022-04-24,44
2022-05-01,44
2022-05-08,52
2022-05-15,38
2022-05-22,39
2022-05-29,36
2022-06-05,39
2022-06-12,38
2022-06-19,39
2022-06-26,63
2022-07-03,39
2022-07-10,37
2022-07-17,36
2022-07-24,36
2022-07-31,39
2022-08-07,40
2022-08-14,36
2022-08-21,41
2022-08-28,43
2022-09-04,41
2022-09-11,44
2022-09-18,48
2022-09-25,42
2022-10-02,50
2022-10-09,71
2022-10-16,56
2022-10-23,45
2022-10-30,41
2022-11-06,46
2022-11-13,48
2022-11-20,37
2022-11-27,42
2022-12-04,40
2022-12-11,42
2022-12-18,30
2022-12-25,27
2023-01-01,32
2023-01-08,40
2023-01-15,40
2023-01-22,40
2023-01-29,45
2023-02-05,42
2023-02-12,40
2023-02-19,42
2023-02-26,38
2023-03-05,40
2023-03-12,40
2023-03-19,45
2023-03-26,38
2023-04-02,36
2023-04-09,36
2023-04-16,42
2023-04-23,45
2023-04-30,54
2023-05-07,42
2023-05-14,55
2023-05-21,38
2023-05-28,35
2023-06-04,34
2023-06-11,37
2023-06-18,31
2023-06-25,33
2023-07-02,33
2023-07-09,35
2023-07-16,35
2023-07-23,36
2023-07-30,33
2023-08-06,33
2023-08-13,40
2023-08-20,35
2023-08-27,44
2023-09-03,43
2023-09-10,38
2023-09-17,42
2023-09-24,39
2023-10-01,42
2023-10-08,38
2023-10-15,40
2023-10-22,35
2023-10-29,37
2023-11-05,39
2023-11-12,38
2023-11-19,33
2023-11-26,40
2023-12-03,39
2023-12-10,37
2023-12-17,31
2023-12-24,23
2023-12-31,22
2024-01-07,39
2024-01-14,34
2024-01-21,40
2024-01-28,40
2024-02-04,44
2024-02-11,41
2024-02-18,43
2024-02-25,44
2024-03-03,43
2024-03-10,47
2024-03-17,44
2024-03-24,38
2024-03-31,41
2024-04-07,37
2024-04-14,42
2024-04-21,42
2024-04-28,39
2024-05-05,40
2024-05-12,38
2024-05-19,35
2024-05-26,33
2024-06-02,34
2024-06-09,37
2024-06-16,32
2024-06-23,30
2024-06-30,29
2024-07-07,32
2024-07-14,29
2024-07-21,42
2024-07-28,32
2024-08-04,36
2024-08-11,34
2024-08-18,36
2024-08-25,40
2024-09-01,41
2024-09-08,41
2024-09-15,47
2024-09-22,43
2024-09-29,41
2024-10-06,44
2024-10-13,44
2024-10-20,42
2024-10-27,38
2024-11-03,40
2024-11-10,47
2024-11-17,47
2024-11-24,45
2024-12-01,45
2024-12-08,40
2024-12-15,36
2024-12-22,25
2024-12-29,28
2025-01-05,36
2025-01-12,39
2025-01-19,39
2025-01-26,41
2025-02-02,43
2025-02-09,39
2025-02-16,40
2025-02-23,43
2025-03-02,43
2025-03-09,44
2025-03-16,43
2025-03-23,45
2025-03-30,49
2025-04-06,42
2025-04-13,37
2025-04-20,42
2025-04-27,43
2025-05-04,42
2025-05-11,42
2025-05-18,37
2025-05-25,34
2025-06-01,42
2025-06-08,46
2025-06-15,38
2025-06-22,40
2025-06-29,39
2025-07-06,39
2025-07-13,40
2025-07-20,46
2025-07-27,52
